Date,cloudCover,temperatureMax,temperatureMin,windSpeed,humidity
1/1/2016,0.03,32.32,4.44,3.74,0.56
1/10/2016,0.11,27.34,6.81,2.38,0.74
1/11/2016,0.11,34.7,12.83,2.69,0.57
1/12/2016,0.09,41.46,19.98,3.75,0.43
1/13/2016,0.09,45.47,24.44,5.57,0.48
1/14/2016,0.16,40.41,28.21,12.6,0.35
1/15/2016,0.23,31.35,19.47,2.2,0.6
1/16/2016,0.17,32.42,12.66,3.31,0.63
1/17/2016,0.16,35.25,17.08,4.25,0.68
1/18/2016,0.15,44.67,22.54,2.34,0.54
1/19/2016,0.2,38.45,27.53,0.33,0.71
1/2/2016,0.1,39.01,14,3.31,0.44
1/20/2016,0.13,44.39,27.04,8.44,0.49
1/21/2016,0.16,37.45,23.14,4.14,0.52
1/22/2016,0.13,47.63,22.84,3.31,0.59
1/23/2016,0.05,54.82,32.33,2.37,0.49
1/24/2016,0.18,42.88,29.37,2.66,0.61
1/25/2016,0.21,34.74,20.9,4.84,0.75
1/26/2016,0.16,40.01,15.96,4.04,0.61
1/27/2016,0.14,49.62,25.3,2.53,0.53
1/28/2016,0.12,54.82,27.78,4.64,0.52
1/29/2016,0.11,51.17,36.18,7.8,0.37
1/3/2016,0.14,41.19,15.58,2.29,0.49
1/30/2016,0.12,57.8,28.2,1.4,0.6
1/31/2016,0.32,31.26,23.43,3.98,0.84
1/4/2016,0.07,40.44,20.09,1.87,0.58
1/5/2016,0.16,42.83,24.05,2.77,0.52
1/6/2016,0.08,41.78,23.32,2.88,0.62
1/7/2016,0.3,34.26,27.7,1.44,0.84
1/8/2016,0.72,29.01,18.05,4.66,0.9
1/9/2016,0.28,25.89,12.07,0.5,0.85
2/1/2016,0.57,27.1,20.4,4.5,0.91
2/10/2016,0.1,60.83,37.58,10.57,0.28
2/11/2016,0.09,58,34.14,3.87,0.42
2/12/2016,0.15,50.64,31.86,1.88,0.65
2/13/2016,0.09,57.93,30.54,5.77,0.59
2/14/2016,0.13,46.38,30.13,2.53,0.53
2/15/2016,0.13,53.42,29.62,14.2,0.46
2/16/2016,0.14,52.94,28.39,2.49,0.56
2/17/2016,0.08,59.88,32.53,4.19,0.46
2/18/2016,0.11,67.68,40.93,13.98,0.32
2/19/2016,0.1,59.76,37.81,6.22,0.25
2/2/2016,0.31,20.87,11.43,10.35,0.84
2/20/2016,0.13,59.18,34.2,1.23,0.36
2/21/2016,0.11,43.76,25.22,4.85,0.54
2/22/2016,0.22,45.44,26.32,3.92,0.62
2/23/2016,0.17,37.18,25.06,6.89,0.61
2/24/2016,0.12,46.96,22.25,0.74,0.39
2/25/2016,0.15,44.89,19.99,2.24,0.47
2/26/2016,0.09,58.5,27.5,2.58,0.41
2/27/2016,0.1,64.14,32.28,7.61,0.3
2/28/2016,0.13,57.82,38.57,2.97,0.29
2/29/2016,0.11,57.76,30.37,8.7,0.35
2/3/2016,0.17,23.39,4.78,6.25,0.56
2/4/2016,0.2,27,10.36,3.38,0.53
2/5/2016,0.16,32.65,17.14,1.09,0.54
2/6/2016,0.07,44.59,16.59,7.01,0.48
2/7/2016,0.16,39.4,20.23,0.66,0.57
2/8/2016,0.14,40.73,19.05,2.75,0.65
2/9/2016,0.08,49.78,26,3.28,0.53
3/1/2016,0.14,51.68,26.94,1.04,0.37
3/10/2016,0.16,61.67,28.39,2.8,0.43
3/11/2016,0.14,68.44,36.65,3.64,0.34
3/12/2016,0.14,61.08,37.13,5.76,0.41
3/13/2016,0.17,58.88,41,5.1,0.3
3/14/2016,0.16,60.39,39.28,10.54,0.36
3/15/2016,0.19,43.15,31.48,12.15,0.34
3/16/2016,0.19,44.01,27.64,8.82,0.4
3/17/2016,0.27,32.93,27.3,3.49,0.74
3/18/2016,0.31,26.78,19.26,3.74,0.81
3/19/2016,0.18,31.89,18.84,4.02,0.63
3/2/2016,0.13,54.96,40.41,14.26,0.3
3/20/2016,0.06,53.1,18.25,4.59,0.47
3/21/2016,0.06,67.83,35.59,5.37,0.32
3/22/2016,0.08,65.44,41.61,7.5,0.28
3/23/2016,0.39,43.07,22.04,16.61,0.91
3/24/2016,0.16,42.14,18.4,5.07,0.7
3/25/2016,0.18,42.34,30.38,1.5,0.63
3/26/2016,0.29,31.22,23.26,1.84,0.79
3/27/2016,0.13,48.43,20.3,6.69,0.52
3/28/2016,0.13,57.87,31.51,4.82,0.46
3/29/2016,0.17,54.31,37.48,3.98,0.64
3/3/2016,0.07,58.26,27.94,2.4,0.41
3/30/2016,0.25,44.43,29.78,7.37,0.79
3/31/2016,0.25,38.97,26.95,1.95,0.73
3/4/2016,0.12,55.59,36.65,0.71,0.37
3/5/2016,0.09,60.28,34.05,7.65,0.46
3/6/2016,0.18,61.9,37.28,5.47,0.35
3/7/2016,0.19,49.19,32.82,2.47,0.62
3/8/2016,0.23,45.16,27.15,1.22,0.62
3/9/2016,0.17,51.48,25.33,2.51,0.5
4/1/2016,0.18,47.92,23.99,1.89,0.52
4/10/2016,0.22,62.29,38.3,2.99,0.5
4/11/2016,0.48,54.45,37.33,2.62,0.77
4/12/2016,0.18,65.44,37.2,2.19,0.58
4/13/2016,0.18,68.41,40.3,4.09,0.48
4/14/2016,0.14,72.51,44.61,6.47,0.38
4/15/2016,0.29,53.38,35.77,5.03,0.6
4/16/2016,0.29,34.34,31.31,14.55,0.96
4/17/2016,0.62,34.71,30.14,10.4,0.89
4/18/2016,0.38,39.68,30.16,1.18,0.75
4/19/2016,0.21,44.28,32.46,3.93,0.75
4/2/2016,0.15,60.88,32.86,4.21,0.38
4/20/2016,0.19,51.78,34.54,1.65,0.69
4/21/2016,0.11,60.4,37.42,0.59,0.57
4/22/2016,0.09,73.39,40.29,5.82,0.46
4/23/2016,0.1,72.14,48.26,10.22,0.4
4/24/2016,0.12,61.32,43.39,9.3,0.34
4/25/2016,0.15,64.81,39.74,6.6,0.52
4/26/2016,0.25,47.09,33.29,7.75,0.69
4/27/2016,0.27,50.56,29.3,4.98,0.66
4/28/2016,0.83,36.6,33.99,6.85,0.8
4/29/2016,0.81,34.43,30.94,3.41,0.95
4/3/2016,0.12,66.7,37.93,2.8,0.34
4/30/2016,0.44,33.92,30.43,12.46,0.91
4/4/2016,0.14,67.44,41.22,2.93,0.38
4/5/2016,0.15,59.47,41.45,11.36,0.35
4/6/2016,0.14,68.15,38.25,11.38,0.24
4/7/2016,0.16,61.79,38.75,3.12,0.4
4/8/2016,0.07,61.08,36.14,2.08,0.49
4/9/2016,0.16,68.9,39.7,3.87,0.43
5/1/2016,0.53,37.45,30.9,6.17,0.83
5/10/2016,0.26,59.87,43.44,3.38,0.65
5/11/2016,0.24,54.45,36.81,3.17,0.65
5/12/2016,0.1,67.72,35.84,1.94,0.52
5/13/2016,0.12,64.8,46.91,2.98,0.47
5/14/2016,0.35,50.31,40.57,3.42,0.75
5/15/2016,0.32,53.97,39.1,2.47,0.74
5/16/2016,0.47,44.73,36.65,5.93,0.94
5/17/2016,0.56,45.68,36.08,3.42,0.87
5/18/2016,0.21,60.64,39.17,5.55,0.71
5/19/2016,0.15,69.35,41.18,3.78,0.53
5/2/2016,0.12,55.4,25.87,1.52,0.58
5/20/2016,0.1,73.77,47.23,5.79,0.47
5/21/2016,0.1,77.51,49.79,5.64,0.51
5/22/2016,0.17,70.83,48.85,1.37,0.49
