Date,Hour,apparentTemperature,cloudCover,humidity,temperature,visibility,windSpeed
2016-01-01,0,-0.35,0.04,0.8,8.12,9.01,4.56
2016-01-01,1,6.77,0.04,0.8,6.77,9.33,2.11
2016-01-01,2,6.23,0.0,0.8,6.23,9.48,2.36
2016-01-01,3,-2.89,0.0,0.79,6.88,9.63,5.35
2016-01-01,4,-2.05,0.0,0.8,6.19,9.53,4.19
2016-01-01,5,-2.06,0.0,0.8,5.97,9.48,4.05
2016-01-01,6,-2.02,0.0,0.8,5.27,10.0,3.56
2016-01-01,7,-2.46,0.0,0.79,4.44,9.91,3.29
2016-01-01,8,-5.68,0.0,0.73,6.63,10.0,7.61
2016-01-01,9,4.28,0.08,0.64,13.85,10.0,6.33
2016-01-01,10,9.49,0.16,0.54,19.73,10.0,8.55
2016-01-01,11,19.04,0.16,0.42,25.91,10.0,5.93
2016-01-01,12,23.17,0.16,0.37,29.53,9.97,6.15
2016-01-01,13,27.44,0.11,0.31,31.74,9.83,4.31
2016-01-01,14,32.32,0.0,0.3,32.32,10.0,1.41
2016-01-01,15,31.67,0.0,0.3,31.67,10.0,0.67
2016-01-01,16,30.01,0.0,0.3,30.01,10.0,1.61
2016-01-01,17,24.4,0.0,0.4,24.4,10.0,1.45
2016-01-01,18,17.85,0.0,0.4,22.34,10.0,3.34
2016-01-01,19,11.0,0.0,0.42,19.07,10.0,5.83
2016-01-01,20,11.6,0.0,0.44,18.54,10.0,4.72
2016-01-01,21,7.63,0.0,0.53,14.97,10.0,4.55
2016-01-01,22,8.73,0.0,0.52,15.84,10.0,4.49
2016-01-01,23,9.71,0.0,0.53,14.99,10.0,3.2
2016-01-02,0,9.79,0.0,0.58,15.15,10.0,3.26
2016-01-02,1,14.75,0.0,0.51,14.75,10.0,3.0
2016-01-02,2,7.49,0.0,0.57,14.72,10.0,4.45
2016-01-02,3,6.41,0.0,0.51,14.49,10.0,5.08
2016-01-02,4,5.84,0.0,0.58,14.34,10.0,5.41
2016-01-02,5,6.73,0.0,0.54,14.49,10.0,4.82
