Date,cloudCover,apparentTemperatureMax,apparentTemperatureMin,temperatureMax,temperatureMin,windSpeed,humidity,visibility
2016-01-01,0.03,32.32,-5.68,32.32,4.44,3.74,0.56,9.84
2016-01-02,0.1,39.01,5.17,39.01,14.0,3.31,0.44,10.0
2016-01-03,0.14,39.55,9.33,41.19,15.58,2.29,0.49,9.99
2016-01-04,0.07,40.44,14.44,40.44,20.09,1.87,0.58,9.97
2016-01-05,0.16,40.06,18.04,42.83,24.05,2.77,0.52,9.87
2016-01-06,0.08,39.57,17.98,41.78,23.32,2.88,0.62,9.99
2016-01-07,0.3,34.26,23.48,34.26,27.7,1.44,0.84,6.1
2016-01-08,0.72,23.63,12.94,29.01,18.05,4.66,0.9,3.82
2016-01-09,0.28,25.89,4.73,25.89,12.07,0.5,0.85,5.62
2016-01-10,0.11,22.86,-1.64,27.34,6.81,2.38,0.74,7.38
2016-01-11,0.11,30.78,4.3,34.7,12.83,2.69,0.57,9.58
2016-01-12,0.09,41.46,9.79,41.46,19.98,3.75,0.43,9.82
2016-01-13,0.09,42.27,17.86,45.47,24.44,5.57,0.48,9.96
2016-01-14,0.16,31.1,19.03,40.41,28.21,12.6,0.35,9.75
2016-01-15,0.23,23.07,14.87,31.35,19.47,2.2,0.6,9.44
2016-01-16,0.17,28.88,4.25,32.42,12.66,3.31,0.63,9.38
2016-01-17,0.16,29.74,9.68,35.25,17.08,4.25,0.68,8.35
2016-01-18,0.15,44.67,15.92,44.67,22.54,2.34,0.54,9.37
2016-01-19,0.2,33.01,21.11,38.45,27.53,0.33,0.71,9.36
2016-01-20,0.13,39.68,20.61,44.39,27.04,8.44,0.49,9.62
2016-01-21,0.16,30.54,17.54,37.45,23.14,4.14,0.52,10.0
2016-01-22,0.13,45.02,17.78,47.63,22.84,3.31,0.59,9.96
2016-01-23,0.05,54.82,27.74,54.82,32.33,2.37,0.49,9.99
2016-01-24,0.18,37.61,22.95,42.88,29.37,2.66,0.61,9.74
2016-01-25,0.21,27.21,16.53,34.74,20.9,4.84,0.75,9.35
2016-01-26,0.16,36.91,7.43,40.01,15.96,4.04,0.61,10.0
2016-01-27,0.14,49.06,17.97,49.62,25.3,2.53,0.53,9.94
2016-01-28,0.12,54.82,23.46,54.82,27.78,4.64,0.52,10.0
2016-01-29,0.11,51.17,31.92,51.17,36.18,7.8,0.37,9.82
2016-01-30,0.12,57.8,23.71,57.8,28.2,1.4,0.6,8.8
2016-01-31,0.32,24.34,14.11,31.26,23.43,3.98,0.84,7.3
2016-02-01,0.57,27.1,9.49,27.1,20.4,4.5,0.91,3.77
2016-02-02,0.31,8.2,2.96,20.87,11.43,10.35,0.84,4.74
2016-02-03,0.17,14.11,-6.65,23.39,4.78,6.25,0.56,9.72
2016-02-04,0.2,27.0,-3.21,27.0,10.36,3.38,0.53,9.67
2016-02-05,0.16,26.74,10.43,32.65,17.14,1.09,0.54,9.99
2016-02-06,0.07,38.81,9.32,44.59,16.59,7.01,0.48,9.83
2016-02-07,0.16,32.43,12.55,39.4,20.23,0.66,0.57,9.72
2016-02-08,0.14,40.73,12.65,40.73,19.05,2.75,0.65,9.77
2016-02-09,0.08,49.78,20.04,49.78,26.0,3.28,0.53,9.93
2016-02-10,0.1,60.83,30.91,60.83,37.58,10.57,0.28,10.0
2016-02-11,0.09,58.0,29.22,58.0,34.14,3.87,0.42,10.0
2016-02-12,0.15,50.64,29.22,50.64,31.86,1.88,0.65,9.85
2016-02-13,0.09,57.93,25.38,57.93,30.54,5.77,0.59,7.12
2016-02-14,0.13,41.47,22.64,46.38,30.13,2.53,0.53,9.7
2016-02-15,0.13,53.42,23.93,53.42,29.62,14.2,0.46,9.63
2016-02-16,0.14,52.94,23.68,52.94,28.39,2.49,0.56,9.83
2016-02-17,0.08,59.88,28.08,59.88,32.53,4.19,0.46,10.0
2016-02-18,0.11,67.68,30.93,67.68,40.93,13.98,0.32,9.87
2016-02-19,0.1,59.76,29.91,59.76,37.81,6.22,0.25,9.97
2016-02-20,0.13,59.18,28.57,59.18,34.2,1.23,0.36,10.0
2016-02-21,0.11,38.58,19.48,43.76,25.22,4.85,0.54,9.91
2016-02-22,0.22,41.48,22.07,45.44,26.32,3.92,0.62,9.1
2016-02-23,0.17,30.31,17.55,37.18,25.06,6.89,0.61,9.1
2016-02-24,0.12,45.0,13.37,46.96,22.25,0.74,0.39,9.86
2016-02-25,0.15,42.5,18.64,44.89,19.99,2.24,0.47,10.0
2016-02-26,0.09,58.5,22.55,58.5,27.5,2.58,0.41,9.95
2016-02-27,0.1,64.14,27.36,64.14,32.28,7.61,0.3,9.97
2016-02-28,0.13,57.82,31.4,57.82,38.57,2.97,0.29,9.96
2016-02-29,0.11,57.76,30.37,57.76,30.37,8.7,0.35,9.86
2016-03-01,0.14,51.68,20.46,51.68,26.94,1.04,0.37,10.0
2016-03-02,0.13,54.96,32.9,54.96,40.41,14.26,0.3,10.0
2016-03-03,0.07,58.26,24.1,58.26,27.94,2.4,0.41,10.0
2016-03-04,0.12,55.59,30.42,55.59,36.65,0.71,0.37,10.0
2016-03-05,0.09,60.28,27.52,60.28,34.05,7.65,0.46,10.0
2016-03-06,0.18,61.9,33.1,61.9,37.28,5.47,0.35,10.0
2016-03-07,0.19,45.17,29.92,49.19,32.82,2.47,0.62,9.77
2016-03-08,0.23,45.16,26.68,45.16,27.15,1.22,0.62,10.0
2016-03-09,0.17,51.48,20.55,51.48,25.33,2.51,0.5,10.0
2016-03-10,0.16,61.67,22.09,61.67,28.39,2.8,0.43,10.0
2016-03-11,0.14,68.44,32.56,68.44,36.65,3.64,0.34,10.0
2016-03-12,0.14,61.08,37.13,61.08,37.13,5.76,0.41,9.94
2016-03-13,0.17,58.88,35.97,58.88,41.0,5.1,0.3,10.0
2016-03-14,0.16,60.39,35.56,60.39,39.28,10.54,0.36,9.99
2016-03-15,0.19,34.63,21.79,43.15,31.48,12.15,0.34,10.0
2016-03-16,0.19,35.98,19.34,44.01,27.64,8.82,0.4,9.95
2016-03-17,0.27,26.18,19.91,32.93,27.3,3.49,0.74,6.74
2016-03-18,0.31,20.56,8.46,26.78,19.26,3.74,0.81,5.32
2016-03-19,0.18,25.99,9.75,31.89,18.84,4.02,0.63,9.05
2016-03-20,0.06,53.1,10.73,53.1,18.25,4.59,0.47,9.99
2016-03-21,0.06,67.83,29.87,67.83,35.59,5.37,0.32,9.93
2016-03-22,0.08,65.44,36.0,65.44,41.61,7.5,0.28,9.95
2016-03-23,0.39,35.07,13.05,43.07,22.04,16.61,0.91,4.09
2016-03-24,0.16,38.35,10.56,42.14,18.4,5.07,0.7,8.63
2016-03-25,0.18,37.7,25.9,42.34,30.38,1.5,0.63,9.29
2016-03-26,0.29,25.94,13.96,31.22,23.26,1.84,0.79,8.32
2016-03-27,0.13,44.35,12.25,48.43,20.3,6.69,0.52,10.0
2016-03-28,0.13,57.87,26.86,57.87,31.51,4.82,0.46,9.98
2016-03-29,0.17,54.31,32.57,54.31,37.48,3.98,0.64,9.95
2016-03-30,0.25,39.35,20.45,44.43,29.78,7.37,0.79,8.65
2016-03-31,0.25,31.12,19.87,38.97,26.95,1.95,0.73,9.16
2016-04-01,0.18,44.16,19.69,47.92,23.99,1.89,0.52,10.0
2016-04-02,0.15,60.88,26.47,60.88,32.86,4.21,0.38,10.0
2016-04-03,0.12,66.7,34.07,66.7,37.93,2.8,0.34,10.0
2016-04-04,0.14,67.44,38.38,67.44,41.22,2.93,0.38,10.0
2016-04-05,0.15,59.47,35.62,59.47,41.45,11.36,0.35,9.91
2016-04-06,0.14,68.15,31.75,68.15,38.25,11.38,0.24,10.0
2016-04-07,0.16,61.79,38.75,61.79,38.75,3.12,0.4,9.99
2016-04-08,0.07,61.08,32.43,61.08,36.14,2.08,0.49,10.0
2016-04-09,0.16,68.9,37.98,68.9,39.7,3.87,0.43,9.99
2016-04-10,0.22,62.29,32.81,62.29,38.3,2.99,0.5,9.88
2016-04-11,0.48,54.45,34.33,54.45,37.33,2.62,0.77,9.75
2016-04-12,0.18,65.44,33.71,65.44,37.2,2.19,0.58,9.77
2016-04-13,0.18,68.41,37.92,68.41,40.3,4.09,0.48,10.0
2016-04-14,0.14,72.51,43.1,72.51,44.61,6.47,0.38,10.0
2016-04-15,0.29,53.38,26.51,53.38,35.77,5.03,0.6,9.89
2016-04-16,0.29,25.65,18.31,34.34,31.31,14.55,0.96,2.06
2016-04-17,0.62,28.15,19.55,34.71,30.14,10.4,0.89,5.27
2016-04-18,0.38,37.14,25.74,39.68,30.16,1.18,0.75,9.88
2016-04-19,0.21,41.76,26.78,44.28,32.46,3.93,0.75,9.15
2016-04-20,0.19,51.78,30.56,51.78,34.54,1.65,0.69,9.88
2016-04-21,0.11,60.4,34.03,60.4,37.42,0.59,0.57,9.96
2016-04-22,0.09,73.39,35.99,73.39,40.29,5.82,0.46,9.76
2016-04-23,0.1,72.14,44.42,72.14,48.26,10.22,0.4,9.54
2016-04-24,0.12,61.32,39.1,61.32,43.39,9.3,0.34,9.78
2016-04-25,0.15,64.81,35.89,64.81,39.74,6.6,0.52,9.98
2016-04-26,0.25,44.69,25.8,47.09,33.29,7.75,0.69,9.65
2016-04-27,0.27,50.56,24.85,50.56,29.3,4.98,0.66,9.52
2016-04-28,0.83,31.59,26.45,36.6,33.99,6.85,0.8,8.37
2016-04-29,0.81,28.46,26.31,34.43,30.94,3.41,0.95,3.28
2016-04-30,0.44,22.97,20.9,33.92,30.43,12.46,0.91,4.52
2016-05-01,0.53,37.45,22.35,37.45,30.9,6.17,0.83,7.94
2016-05-02,0.12,55.4,23.26,55.4,25.87,1.52,0.58,9.69
2016-05-03,0.14,62.58,32.65,62.58,37.36,6.7,0.46,9.8
2016-05-04,0.07,70.06,37.03,70.06,39.19,1.82,0.44,9.88
2016-05-05,0.06,76.06,41.94,76.06,44.45,2.92,0.4,10.0
2016-05-06,0.14,73.37,47.85,73.37,49.15,2.43,0.45,9.94
2016-05-07,0.27,55.05,35.9,55.05,38.44,9.49,0.8,9.05
2016-05-08,0.18,57.69,32.49,57.69,35.2,1.45,0.69,9.61
2016-05-09,0.21,61.57,34.92,61.57,39.76,5.19,0.58,9.82
2016-05-10,0.26,59.87,42.4,59.87,43.44,3.38,0.65,9.83
2016-05-11,0.24,54.45,33.27,54.45,36.81,3.17,0.65,9.89
2016-05-12,0.1,67.72,32.57,67.72,35.84,1.94,0.52,9.81
2016-05-13,0.12,64.8,44.23,64.8,46.91,2.98,0.47,9.96
2016-05-14,0.35,50.31,38.11,50.31,40.57,3.42,0.75,9.44
2016-05-15,0.32,53.97,37.36,53.97,39.1,2.47,0.74,9.44
2016-05-16,0.47,44.73,31.87,44.73,36.65,5.93,0.94,4.93
2016-05-17,0.56,44.16,31.07,45.68,36.08,3.42,0.87,8.57
2016-05-18,0.21,60.64,33.91,60.64,39.17,5.55,0.71,9.02
2016-05-19,0.15,69.35,39.28,69.35,41.18,3.78,0.53,9.8
2016-05-20,0.1,73.77,44.81,73.77,47.23,5.79,0.47,9.99
2016-05-21,0.1,77.51,49.79,77.51,49.79,5.64,0.51,9.89
2016-05-22,0.17,70.83,48.85,70.83,48.85,1.37,0.49,9.94
2016-05-23,0.14,62.94,38.19,62.94,42.29,5.14,0.58,9.94
2016-05-24,0.19,67.08,39.83,67.08,41.94,2.6,0.66,9.97
2016-05-25,0.13,68.61,42.71,68.61,44.24,2.26,0.55,9.91
2016-05-26,0.22,61.39,41.67,61.39,44.42,1.7,0.72,9.5
2016-05-27,0.29,53.4,39.87,53.4,43.83,7.36,0.76,9.13
2016-05-28,0.19,65.65,38.57,65.65,40.33,2.25,0.59,9.84
