,Date,cloudCover,temperatureMax,temperatureMin,windSpeed,humidity
Row,,,,,,
Row,4/1/2016,0.18,47.92,23.99,1.89,0.52
Row,4/10/2016,0.22,62.29,38.3,2.99,0.5
Row,4/11/2016,0.48,54.45,37.33,2.62,0.77
Row,4/12/2016,0.18,65.44,37.2,2.19,0.58
Row,4/13/2016,0.18,68.41,40.3,4.09,0.48
Row,4/14/2016,0.14,72.51,44.61,6.47,0.38
Row,4/15/2016,0.29,53.38,35.77,5.03,0.6
Row,4/16/2016,0.29,34.34,31.31,14.55,0.96
Row,4/17/2016,0.62,34.71,30.14,10.4,0.89
Row,4/18/2016,0.38,39.68,30.16,1.18,0.75
Row,4/19/2016,0.21,44.28,32.46,3.93,0.75
Row,4/2/2016,0.15,60.88,32.86,4.21,0.38
Row,4/20/2016,0.19,51.78,34.54,1.65,0.69
Row,4/21/2016,0.11,60.4,37.42,0.59,0.57
Row,4/22/2016,0.09,73.39,40.29,5.82,0.46
Row,4/23/2016,0.1,72.14,48.26,10.22,0.4
Row,4/24/2016,0.12,61.32,43.39,9.3,0.34
Row,4/25/2016,0.15,64.81,39.74,6.6,0.52
Row,4/26/2016,0.25,47.09,33.29,7.75,0.69
Row,4/27/2016,0.27,50.56,29.3,4.98,0.66
Row,4/28/2016,0.83,36.6,33.99,6.85,0.8
Row,4/29/2016,0.81,34.43,30.94,3.41,0.95
Row,4/3/2016,0.12,66.7,37.93,2.8,0.34
Row,4/30/2016,0.44,33.92,30.43,12.46,0.91
Row,4/4/2016,0.14,67.44,41.22,2.93,0.38
Row,4/5/2016,0.15,59.47,41.45,11.36,0.35
Row,4/6/2016,0.14,68.15,38.25,11.38,0.24
Row,4/7/2016,0.16,61.79,38.75,3.12,0.4
Row,4/8/2016,0.07,61.08,36.14,2.08,0.49
Row,4/9/2016,0.16,68.9,39.7,3.87,0.43
