,Date,Hour,apparentTemperature,cloudCover,humidity,temperature,time,visibility,windSpeed
Row,,,,,,,,,
Row,4/1/2016,0.0,21.38,0.08,0.77,26.75,1459490400.0,10.0,4.54
Row,4/1/2016,1.0,20.77,0.12,0.74,26.39,1459494000.0,10.0,4.73
Row,4/1/2016,2.0,21.6,0.09,0.73,25.98,1459497600.0,10.0,3.63
Row,4/1/2016,3.0,20.91,0.27,0.7,26.34,1459501200.0,10.0,4.54
Row,4/1/2016,4.0,21.49,0.14,0.69,25.92,1459504800.0,10.0,3.66
Row,4/1/2016,5.0,19.73,0.11,0.72,24.04,1459508400.0,10.0,3.38
Row,4/1/2016,6.0,19.69,0.18,0.72,23.99,1459512000.0,10.0,3.37
Row,4/1/2016,7.0,24.36,0.2,0.71,24.36,1459515600.0,10.0,2.95
Row,4/1/2016,8.0,25.13,0.19,0.64,28.76,1459519200.0,10.0,3.37
Row,4/1/2016,9.0,33.15,0.19,0.54,33.15,1459522800.0,10.0,2.91
Row,4/1/2016,10.0,32.13,0.2,0.49,36.68,1459526400.0,10.0,5.55
Row,4/1/2016,11.0,35.82,0.25,0.46,38.41,1459530000.0,10.0,3.66
Row,4/1/2016,12.0,38.69,0.26,0.42,40.62,1459533600.0,10.0,3.34
Row,4/1/2016,13.0,38.69,0.17,0.34,43.7,1459537200.0,10.0,8.88
Row,4/1/2016,14.0,41.94,0.21,0.31,46.31,1459540800.0,10.0,8.77
Row,4/1/2016,15.0,42.28,0.3,0.29,46.8,1459544400.0,10.0,9.42
Row,4/1/2016,16.0,44.46,0.23,0.26,47.85,1459548000.0,10.0,7.3
Row,4/1/2016,17.0,44.16,0.27,0.26,47.92,1459551600.0,10.0,8.18
Row,4/1/2016,18.0,45.75,0.29,0.27,47.39,1459555200.0,10.0,4.13
Row,4/1/2016,19.0,42.31,0.15,0.32,44.45,1459558800.0,10.0,4.18
Row,4/1/2016,20.0,40.6,0.2,0.4,40.6,1459562400.0,10.0,1.95
Row,4/1/2016,21.0,33.04,0.16,0.5,35.91,1459566000.0,10.0,3.58
Row,4/1/2016,22.0,31.15,0.0,0.54,34.93,1459569600.0,10.0,4.32
