,Date,cloudCover,temperatureMax,temperatureMin,windSpeed,humidity
Row,,,,,,
Row,8/1/2016,0.16,91.9,61.81,2.03,0.34
Row,8/10/2016,0.16,87.52,59.01,2.99,0.4
Row,8/11/2016,0.15,84.5,61.19,2.22,0.42
Row,8/12/2016,0.16,78.43,52.04,2.12,0.48
Row,8/13/2016,0.16,83.38,54.24,0.91,0.37
Row,8/14/2016,0.14,85.56,54.58,5.14,0.38
Row,8/15/2016,0.12,86.43,58.02,1.6,0.3
Row,8/16/2016,0.14,81.99,53.4,2.36,0.42
Row,8/17/2016,0.11,85.04,56.44,2.31,0.39
Row,8/18/2016,0.2,80.92,55.91,5.21,0.44
Row,8/19/2016,0.3,74.73,48.57,6.99,0.73
Row,8/2/2016,0.16,89.3,61.5,1.86,0.37
Row,8/20/2016,0.25,72.62,46.46,1.01,0.57
Row,8/21/2016,0.09,85.68,49.8,3.85,0.45
Row,8/22/2016,0.1,85.3,57.08,1.61,0.34
Row,8/23/2016,0.15,80.38,58.6,5.58,0.33
Row,8/24/2016,0.31,63.52,52.11,3.34,0.59
Row,8/25/2016,0.15,67.63,46.61,0.33,0.71
Row,8/26/2016,0.18,73.87,51.92,0.36,0.6
Row,8/27/2016,0.17,79.99,48.53,2.11,0.48
Row,8/28/2016,0.18,81.04,57.59,0.95,0.4
Row,8/29/2016,0.15,75.84,57.23,3.99,0.53
Row,8/3/2016,0.16,90.93,60.1,3.9,0.46
Row,8/30/2016,0.17,76.41,52.67,1.39,0.56
Row,8/31/2016,0.2,76.61,51.92,1.66,0.67
Row,8/4/2016,0.2,71.52,59.57,5.04,0.44
Row,8/5/2016,0.36,71.25,57.59,2.43,0.57
Row,8/6/2016,0.27,77.07,59.35,1.92,0.69
Row,8/7/2016,0.15,84.1,57.61,2.34,0.59
Row,8/8/2016,0.12,85.02,61.48,4.37,0.45
Row,8/9/2016,0.12,89.76,58.58,3.41,0.38
