,Date,Hour,apparentTemperature,cloudCover,humidity,temperature,time,visibility,windSpeed
Row,,,,,,,,,
Row,8/1/2016,0.0,66.35,0.16,0.58,66.35,1470031200.0,9.8,4.48
Row,8/1/2016,1.0,63.99,0.15,0.62,63.99,1470034800.0,10.0,4.55
Row,8/1/2016,2.0,63.04,0.16,0.63,63.04,1470038400.0,10.0,4.08
Row,8/1/2016,3.0,63.1,0.15,0.63,63.1,1470042000.0,10.0,3.6
Row,8/1/2016,4.0,62.59,0.16,0.64,62.59,1470045600.0,9.8,4.8
Row,8/1/2016,5.0,62.27,0.09,0.63,62.27,1470049200.0,10.0,4.64
Row,8/1/2016,6.0,61.81,0.11,0.65,61.81,1470052800.0,9.8,4.7
Row,8/1/2016,7.0,65.68,0.08,0.58,65.68,1470056400.0,9.67,5.77
Row,8/1/2016,8.0,72.82,0.18,0.42,72.82,1470060000.0,10.0,4.68
Row,8/1/2016,9.0,76.28,0.19,0.38,76.28,1470063600.0,9.82,0.69
Row,8/1/2016,10.0,80.09,0.19,0.27,81.71,1470067200.0,9.82,2.89
Row,8/1/2016,11.0,82.38,0.18,0.2,85.41,1470070800.0,9.87,5.42
Row,8/1/2016,12.0,84.71,0.18,0.16,88.48,1470074400.0,10.0,11.03
Row,8/1/2016,13.0,85.78,0.17,0.14,89.81,1470078000.0,10.0,10.07
Row,8/1/2016,14.0,87.21,0.2,0.12,91.9,1470081600.0,10.0,8.66
Row,8/1/2016,15.0,86.74,0.2,0.1,91.69,1470085200.0,10.0,10.77
Row,8/1/2016,16.0,86.63,0.15,0.09,91.81,1470088800.0,10.0,11.9
Row,8/1/2016,17.0,85.8,0.15,0.09,90.86,1470092400.0,10.0,10.05
Row,8/1/2016,18.0,84.81,0.2,0.1,89.38,1470096000.0,10.0,7.3
Row,8/1/2016,19.0,83.31,0.2,0.12,86.98,1470099600.0,10.0,4.75
Row,8/1/2016,20.0,79.09,0.18,0.19,80.87,1470103200.0,9.93,2.72
Row,8/1/2016,21.0,76.34,0.2,0.24,76.34,1470106800.0,9.93,2.67
Row,8/1/2016,22.0,71.84,0.16,0.28,71.84,1470110400.0,10.0,4.25
Row,8/1/2016,23.0,67.07,0.13,0.36,67.07,1470114000.0,10.0,2.32
Row,8/10/2016,0.0,64.91,0.12,0.54,64.91,1470808800.0,9.81,3.31
Row,8/10/2016,1.0,62.23,0.02,0.61,62.23,1470812400.0,9.81,2.72
Row,8/10/2016,2.0,61.46,0.0,0.59,61.46,1470816000.0,10.0,3.32
Row,8/10/2016,3.0,60.85,0.12,0.58,60.85,1470819600.0,9.81,4.42
Row,8/10/2016,4.0,59.99,0.08,0.61,59.99,1470823200.0,10.0,3.62
Row,8/10/2016,5.0,59.78,0.08,0.61,59.78,1470826800.0,10.0,3.86
Row,8/10/2016,6.0,59.01,0.12,0.63,59.01,1470830400.0,9.81,3.29
Row,8/10/2016,7.0,63.47,0.18,0.54,63.47,1470834000.0,9.71,5.64
Row,8/10/2016,8.0,69.91,0.15,0.41,69.91,1470837600.0,10.0,9.6
Row,8/10/2016,9.0,75.33,0.16,0.33,75.33,1470841200.0,10.0,5.62
Row,8/10/2016,10.0,79.61,0.19,0.27,81.02,1470844800.0,10.0,4.18
Row,8/10/2016,11.0,81.96,0.19,0.21,84.83,1470848400.0,9.93,0.54
Row,8/10/2016,12.0,83.2,0.2,0.18,86.59,1470852000.0,9.36,2.98
Row,8/10/2016,13.0,82.86,0.19,0.16,86.24,1470855600.0,9.76,1.65
Row,8/10/2016,14.0,81.79,0.28,0.2,84.67,1470859200.0,9.97,10.03
Row,8/10/2016,15.0,82.54,0.19,0.21,85.57,1470862800.0,9.97,12.32
Row,8/10/2016,16.0,84.02,0.09,0.19,87.52,1470866400.0,10.0,5.02
Row,8/10/2016,17.0,81.46,0.07,0.24,83.96,1470870000.0,9.87,1.3
Row,8/10/2016,18.0,78.35,0.28,0.29,78.35,1470873600.0,9.56,6.41
Row,8/10/2016,19.0,74.43,0.31,0.37,74.43,1470877200.0,10.0,4.45
Row,8/10/2016,20.0,70.97,0.26,0.43,70.97,1470880800.0,10.0,8.5
Row,8/10/2016,21.0,68.98,0.28,0.46,68.98,1470884400.0,10.0,3.47
Row,8/10/2016,22.0,66.64,0.11,0.5,66.64,1470888000.0,10.0,2.08
Row,8/10/2016,23.0,64.49,0.07,0.54,64.49,1470891600.0,9.81,2.82
Row,8/11/2016,0.0,63.0,0.18,0.57,63.0,1470895200.0,9.81,3.17
Row,8/11/2016,1.0,62.22,0.16,0.59,62.22,1470898800.0,9.81,4.52
Row,8/11/2016,2.0,61.47,0.13,0.61,61.47,1470902400.0,9.81,4.35
Row,8/11/2016,3.0,61.19,0.13,0.59,61.19,1470906000.0,10.0,4.07
Row,8/11/2016,4.0,61.82,0.14,0.57,61.82,1470909600.0,10.0,4.67
Row,8/11/2016,5.0,62.19,0.16,0.55,62.19,1470913200.0,10.0,3.51
Row,8/11/2016,6.0,62.69,0.17,0.53,62.69,1470916800.0,9.81,3.78
Row,8/11/2016,7.0,63.35,0.0,0.53,63.35,1470920400.0,9.81,3.62
Row,8/11/2016,8.0,69.14,0.02,0.43,69.14,1470924000.0,10.0,5.48
Row,8/11/2016,9.0,72.15,0.24,0.37,72.15,1470927600.0,10.0,3.9
Row,8/11/2016,10.0,77.38,0.08,0.28,77.38,1470931200.0,10.0,5.65
Row,8/11/2016,11.0,79.06,0.06,0.25,80.33,1470934800.0,9.77,8.21
Row,8/11/2016,12.0,80.12,0.11,0.22,82.2,1470938400.0,9.79,7.58
Row,8/11/2016,13.0,80.35,0.2,0.22,82.6,1470942000.0,9.86,8.61
Row,8/11/2016,14.0,81.63,0.22,0.2,84.5,1470945600.0,9.97,5.92
Row,8/11/2016,15.0,81.57,0.21,0.19,84.42,1470949200.0,9.82,5.18
Row,8/11/2016,16.0,80.84,0.16,0.2,83.37,1470952800.0,9.71,6.14
Row,8/11/2016,17.0,79.79,0.27,0.22,81.72,1470956400.0,10.0,6.35
Row,8/11/2016,18.0,78.91,0.34,0.28,78.91,1470960000.0,9.82,5.44
Row,8/11/2016,19.0,72.4,0.15,0.39,72.4,1470963600.0,9.62,11.32
Row,8/11/2016,20.0,67.97,0.04,0.49,67.97,1470967200.0,10.0,8.02
Row,8/11/2016,21.0,65.09,0.25,0.54,65.09,1470970800.0,10.0,8.38
Row,8/11/2016,22.0,62.97,0.1,0.56,62.97,1470974400.0,10.0,2.69
Row,8/11/2016,23.0,61.58,0.03,0.6,61.58,1470978000.0,9.81,2.96
Row,8/12/2016,0.0,60.36,0.18,0.61,60.36,1470981600.0,9.78,2.08
Row,8/12/2016,1.0,59.25,0.2,0.64,59.25,1470985200.0,10.0,3.04
Row,8/12/2016,2.0,56.51,0.09,0.69,56.51,1470988800.0,10.0,2.38
Row,8/12/2016,3.0,55.69,0.05,0.69,55.69,1470992400.0,9.81,5.88
Row,8/12/2016,4.0,55.01,0.05,0.7,55.01,1470996000.0,9.81,4.36
Row,8/12/2016,5.0,52.99,0.05,0.74,52.99,1470999600.0,9.81,3.63
Row,8/12/2016,6.0,52.04,0.12,0.76,52.04,1471003200.0,9.81,2.6
Row,8/12/2016,7.0,53.85,0.17,0.76,53.85,1471006800.0,9.81,1.06
Row,8/12/2016,8.0,60.23,0.14,0.63,60.23,1471010400.0,9.82,3.18
Row,8/12/2016,9.0,64.3,0.14,0.54,64.3,1471014000.0,9.71,4.0
Row,8/12/2016,10.0,67.91,0.19,0.46,67.91,1471017600.0,10.0,3.34
Row,8/12/2016,11.0,70.38,0.2,0.4,70.38,1471021200.0,10.0,3.81
Row,8/12/2016,12.0,73.08,0.22,0.35,73.08,1471024800.0,9.82,3.49
Row,8/12/2016,13.0,75.33,0.22,0.3,75.33,1471028400.0,9.93,4.32
Row,8/12/2016,14.0,76.87,0.19,0.27,76.87,1471032000.0,9.64,3.6
Row,8/12/2016,15.0,77.99,0.22,0.25,77.99,1471035600.0,9.65,5.09
Row,8/12/2016,16.0,78.43,0.21,0.24,78.43,1471039200.0,9.97,5.25
Row,8/12/2016,17.0,77.99,0.21,0.24,77.99,1471042800.0,9.78,5.85
Row,8/12/2016,18.0,77.36,0.21,0.24,77.36,1471046400.0,10.0,7.23
Row,8/12/2016,19.0,75.11,0.18,0.27,75.11,1471050000.0,9.82,5.01
Row,8/12/2016,20.0,70.3,0.2,0.32,70.3,1471053600.0,9.82,3.81
Row,8/12/2016,21.0,65.16,0.21,0.4,65.16,1471057200.0,9.82,4.13
Row,8/12/2016,22.0,64.32,0.19,0.43,64.32,1471060800.0,9.81,4.01
Row,8/12/2016,23.0,61.18,0.13,0.48,61.18,1471064400.0,9.81,5.17
Row,8/13/2016,0.0,59.84,0.15,0.5,59.84,1471068000.0,9.81,4.14
Row,8/13/2016,1.0,58.25,0.1,0.54,58.25,1471071600.0,10.0,3.71
Row,8/13/2016,2.0,56.51,0.09,0.58,56.51,1471075200.0,9.81,5.63
Row,8/13/2016,3.0,56.86,0.09,0.58,56.86,1471078800.0,9.81,4.26
Row,8/13/2016,4.0,56.23,0.09,0.6,56.23,1471082400.0,9.81,4.13
Row,8/13/2016,5.0,55.19,0.09,0.61,55.19,1471086000.0,9.81,6.14
Row,8/13/2016,6.0,54.24,0.12,0.64,54.24,1471089600.0,9.81,9.7
Row,8/13/2016,7.0,56.59,0.17,0.61,56.59,1471093200.0,9.81,6.96
Row,8/13/2016,8.0,64.03,0.18,0.46,64.03,1471096800.0,10.0,7.78
Row,8/13/2016,9.0,68.98,0.12,0.37,68.98,1471100400.0,9.81,7.47
Row,8/13/2016,10.0,73.05,0.18,0.3,73.05,1471104000.0,10.0,5.13
Row,8/13/2016,11.0,77.88,0.19,0.23,77.88,1471107600.0,10.0,1.12
Row,8/13/2016,12.0,78.63,0.21,0.19,80.15,1471111200.0,9.97,6.29
Row,8/13/2016,13.0,79.58,0.19,0.17,81.77,1471114800.0,9.27,8.47
Row,8/13/2016,14.0,80.57,0.19,0.15,83.25,1471118400.0,9.58,6.16
Row,8/13/2016,15.0,80.18,0.19,0.15,82.71,1471122000.0,9.68,6.19
Row,8/13/2016,16.0,80.31,0.21,0.15,82.88,1471125600.0,9.92,8.75
Row,8/13/2016,17.0,80.66,0.23,0.15,83.38,1471129200.0,10.0,7.77
Row,8/13/2016,18.0,79.32,0.22,0.17,81.37,1471132800.0,10.0,9.45
