,Date,cloudCover,apparentTemperatureMax,apparentTemperatureMin,temperatureMax,temperatureMin,windSpeed,humidity,visibility,time
Row,,,,,,,,,,
Row,12/1/2016,0.16,36.75,13.35,36.75,17.87,0.71,0.44,9.99,1480575600.0
Row,12/10/2016,0.08,50.13,13.7,50.13,20.55,4.94,0.62,8.66,1481353200.0
Row,12/11/2016,0.24,37.35,19.11,37.35,25.02,2.15,0.8,8.81,1481439600.0
Row,12/12/2016,0.18,41.2,14.38,41.2,22.08,2.45,0.69,9.1,1481526000.0
Row,12/13/2016,0.13,35.68,13.43,41.43,21.48,3.25,0.48,9.78,1481612400.0
Row,12/14/2016,0.17,26.02,4.36,26.02,14.21,1.18,0.64,9.46,1481698800.0
Row,12/15/2016,0.07,57.06,8.24,57.06,16.45,6.02,0.51,9.78,1481785200.0
Row,12/16/2016,0.17,40.78,-2.79,45.57,8.77,1.91,0.61,8.13,1481871600.0
Row,12/17/2016,0.18,-8.92,-16.0,5.49,-7.22,3.5,0.7,6.72,1481958000.0
Row,12/18/2016,0.07,15.15,-17.45,19.64,-6.22,2.15,0.62,9.71,1482044400.0
Row,12/19/2016,0.08,33.73,-0.39,38.3,7.56,6.45,0.45,9.8,1482130800.0
Row,12/2/2016,0.28,21.46,11.35,28.99,18.71,2.44,0.69,9.22,1480662000.0
Row,12/20/2016,0.04,50.55,28.82,50.55,36.46,9.07,0.37,10.0,1482217200.0
Row,12/21/2016,0.15,39.55,23.27,45.89,29.17,1.51,0.48,9.91,1482303600.0
Row,12/22/2016,0.15,36.46,18.5,36.46,25.26,2.22,0.7,9.68,1482390000.0
Row,12/23/2016,0.11,45.91,20.39,48.91,26.47,2.9,0.61,9.75,1482476400.0
Row,12/24/2016,0.11,50.96,23.21,50.96,28.94,5.24,0.55,9.91,1482562800.0
Row,12/25/2016,0.2,24.63,15.43,36.86,25.29,8.17,0.62,9.32,1482649200.0
Row,12/26/2016,0.12,32.58,10.82,38.04,17.17,5.16,0.5,9.9,1482735600.0
Row,12/27/2016,0.12,40.24,10.65,45.71,19.62,5.47,0.43,9.9,1482822000.0
Row,12/28/2016,0.13,39.19,19.06,44.18,24.06,7.35,0.43,9.68,1482908400.0
Row,12/29/2016,0.01,39.42,14.63,41.78,18.88,2.02,0.56,10.0,1482994800.0
Row,12/3/2016,0.17,30.93,9.38,36.77,16.1,3.41,0.62,9.58,1480748400.0
Row,12/30/2016,0.04,58.13,15.21,58.13,21.08,7.49,0.39,10.0,1483081200.0
Row,12/31/2016,0.11,41.49,15.26,42.84,20.96,2.0,0.54,9.86,1483167600.0
Row,12/4/2016,0.12,47.4,11.25,47.4,17.98,3.63,0.4,9.94,1480834800.0
Row,12/5/2016,0.18,40.9,11.45,47.76,18.14,8.46,0.36,9.58,1480921200.0
Row,12/6/2016,0.24,16.82,-0.74,26.29,10.45,5.75,0.51,8.48,1481007600.0
Row,12/7/2016,0.26,9.02,-8.48,15.25,-1.11,4.04,0.81,6.58,1481094000.0
Row,12/8/2016,0.16,14.82,-11.91,14.82,-1.48,2.89,0.78,9.33,1481180400.0
Row,12/9/2016,0.16,38.95,-2.59,42.49,7.17,2.05,0.71,9.24,1481266800.0
