,Date,Hour,apparentTemperature,cloudCover,humidity,temperature,time,visibility,windSpeed
Row,,,,,,,,,
Row,12/1/2016,0.0,13.35,0.08,0.52,17.98,1480575600.0,9.93,3.06
Row,12/1/2016,1.0,17.87,0.13,0.54,17.87,1480579200.0,10.0,1.7
Row,12/1/2016,2.0,18.35,0.09,0.54,18.35,1480582800.0,10.0,2.92
Row,12/1/2016,3.0,18.36,0.1,0.55,18.36,1480586400.0,10.0,1.75
Row,12/1/2016,4.0,19.06,0.05,0.54,19.06,1480590000.0,10.0,2.28
Row,12/1/2016,5.0,14.57,0.17,0.55,19.59,1480593600.0,10.0,3.43
Row,12/1/2016,6.0,13.75,0.17,0.55,19.32,1480597200.0,10.0,3.78
Row,12/1/2016,7.0,13.75,0.03,0.57,19.34,1480600800.0,10.0,3.79
Row,12/1/2016,8.0,16.08,0.23,0.53,22.09,1480604400.0,10.0,4.44
Row,12/1/2016,9.0,25.35,0.03,0.44,25.35,1480608000.0,10.0,2.28
Row,12/1/2016,10.0,29.05,0.03,0.37,29.05,1480611600.0,10.0,2.23
Row,12/1/2016,11.0,28.51,0.16,0.32,31.81,1480615200.0,10.0,3.44
Row,12/1/2016,12.0,34.98,0.07,0.27,34.98,1480618800.0,10.0,1.49
Row,12/1/2016,13.0,36.75,0.12,0.26,36.75,1480622400.0,10.0,2.45
Row,12/1/2016,14.0,33.9,0.18,0.25,36.64,1480626000.0,10.0,3.56
Row,12/1/2016,15.0,33.08,0.18,0.25,36.49,1480629600.0,10.0,4.18
Row,12/1/2016,16.0,30.86,0.18,0.29,33.92,1480633200.0,10.0,3.5
Row,12/1/2016,17.0,29.1,0.25,0.36,29.1,1480636800.0,10.0,2.89
Row,12/1/2016,18.0,26.63,0.28,0.41,26.63,1480640400.0,10.0,1.61
Row,12/1/2016,19.0,26.45,0.26,0.43,26.45,1480644000.0,10.0,2.77
Row,12/1/2016,20.0,24.91,0.33,0.47,24.91,1480647600.0,9.9,2.49
Row,12/1/2016,21.0,23.91,0.29,0.5,23.91,1480651200.0,10.0,1.46
Row,12/1/2016,22.0,24.23,0.2,0.5,24.23,1480654800.0,10.0,1.03
Row,12/1/2016,23.0,23.8,0.29,0.52,23.8,1480658400.0,10.0,1.33
Row,12/10/2016,0.0,18.79,0.09,0.84,23.06,1481353200.0,7.49,3.27
Row,12/10/2016,1.0,16.65,0.16,0.86,22.51,1481356800.0,7.29,4.37
Row,12/10/2016,2.0,23.04,0.12,0.82,23.04,1481360400.0,7.79,2.91
Row,12/10/2016,3.0,22.44,0.12,0.83,22.44,1481364000.0,7.41,1.64
Row,12/10/2016,4.0,21.75,0.11,0.83,21.75,1481367600.0,7.24,1.59
Row,12/10/2016,5.0,20.96,0.11,0.86,20.96,1481371200.0,7.77,2.78
Row,12/10/2016,6.0,13.7,0.14,0.84,20.55,1481374800.0,7.57,4.93
Row,12/10/2016,7.0,16.11,0.06,0.79,22.88,1481378400.0,7.59,5.24
Row,12/10/2016,8.0,22.03,0.19,0.73,27.49,1481382000.0,8.31,4.76
Row,12/10/2016,9.0,27.97,0.0,0.66,32.84,1481385600.0,8.35,5.11
Row,12/10/2016,10.0,35.73,0.0,0.62,35.73,1481389200.0,8.77,1.05
Row,12/10/2016,11.0,36.34,0.15,0.55,38.76,1481392800.0,8.89,3.54
Row,12/10/2016,12.0,41.67,0.0,0.45,45.7,1481396400.0,9.18,7.69
Row,12/10/2016,13.0,46.95,0.0,0.38,49.94,1481400000.0,9.46,7.37
Row,12/10/2016,14.0,50.13,0.17,0.4,50.13,1481403600.0,9.51,10.24
Row,12/10/2016,15.0,42.31,0.0,0.41,48.66,1481407200.0,9.28,17.69
Row,12/10/2016,16.0,41.31,0.05,0.43,47.69,1481410800.0,9.37,16.57
Row,12/10/2016,17.0,44.21,0.15,0.43,47.5,1481414400.0,9.41,6.93
Row,12/10/2016,18.0,41.96,0.03,0.45,46.31,1481418000.0,9.42,8.71
Row,12/10/2016,19.0,41.41,0.0,0.5,44.13,1481421600.0,9.48,4.88
Row,12/10/2016,20.0,43.1,0.15,0.52,43.1,1481425200.0,9.6,2.32
Row,12/10/2016,21.0,41.61,0.09,0.54,41.61,1481428800.0,9.55,1.03
Row,12/10/2016,22.0,37.73,0.02,0.55,40.91,1481432400.0,9.52,4.76
Row,12/10/2016,23.0,35.73,0.12,0.61,38.73,1481436000.0,9.52,4.13
Row,12/11/2016,0.0,37.35,0.1,0.64,37.35,1481439600.0,9.57,1.93
Row,12/11/2016,1.0,34.81,0.16,0.65,36.99,1481443200.0,9.51,3.12
Row,12/11/2016,2.0,31.92,0.28,0.73,35.69,1481446800.0,9.6,4.42
Row,12/11/2016,3.0,34.65,0.14,0.78,34.65,1481450400.0,9.25,2.28
Row,12/11/2016,4.0,28.36,0.14,0.81,33.3,1481454000.0,8.79,5.29
Row,12/11/2016,5.0,26.03,0.5,0.91,30.63,1481457600.0,4.37,4.43
Row,12/11/2016,6.0,25.57,0.19,0.94,28.78,1481461200.0,4.26,3.08
Row,12/11/2016,7.0,29.1,0.19,0.94,29.1,1481464800.0,6.52,1.56
Row,12/11/2016,8.0,28.56,0.45,0.93,28.56,1481468400.0,8.92,2.35
Row,12/11/2016,9.0,24.47,0.31,0.91,30.07,1481472000.0,8.14,5.37
Row,12/11/2016,10.0,31.43,0.31,0.85,31.43,1481475600.0,8.47,2.88
Row,12/11/2016,11.0,27.54,0.3,0.77,33.0,1481479200.0,9.53,5.85
Row,12/11/2016,12.0,29.71,0.29,0.74,34.03,1481482800.0,8.88,4.71
Row,12/11/2016,13.0,36.23,0.28,0.68,36.23,1481486400.0,9.55,1.36
Row,12/11/2016,14.0,36.87,0.26,0.64,36.87,1481490000.0,9.59,1.68
Row,12/11/2016,15.0,36.96,0.2,0.6,36.96,1481493600.0,9.59,2.56
Row,12/11/2016,16.0,31.97,0.2,0.65,34.57,1481497200.0,9.57,3.19
Row,12/11/2016,17.0,27.47,0.23,0.76,30.44,1481500800.0,9.73,3.06
