,Date,cloudCover,apparentTemperatureMax,apparentTemperatureMin,temperatureMax,temperatureMin,windSpeed,humidity,visibility,time
Row,,,,,,,,,,
Row,2/1/2016,0.57,27.1,9.49,27.1,20.4,4.5,0.91,3.77,1454310000.0
Row,2/10/2016,0.1,60.83,30.91,60.83,37.58,10.57,0.28,10.0,1455087600.0
Row,2/11/2016,0.09,58.0,29.22,58.0,34.14,3.87,0.42,10.0,1455174000.0
Row,2/12/2016,0.15,50.64,29.22,50.64,31.86,1.88,0.65,9.85,1455260400.0
Row,2/13/2016,0.09,57.93,25.38,57.93,30.54,5.77,0.59,7.12,1455346800.0
Row,2/14/2016,0.13,41.47,22.64,46.38,30.13,2.53,0.53,9.7,1455433200.0
Row,2/15/2016,0.13,53.42,23.93,53.42,29.62,14.2,0.46,9.63,1455519600.0
Row,2/16/2016,0.14,52.94,23.68,52.94,28.39,2.49,0.56,9.83,1455606000.0
Row,2/17/2016,0.08,59.88,28.08,59.88,32.53,4.19,0.46,10.0,1455692400.0
Row,2/18/2016,0.11,67.68,30.93,67.68,40.93,13.98,0.32,9.87,1455778800.0
Row,2/19/2016,0.1,59.76,29.91,59.76,37.81,6.22,0.25,9.97,1455865200.0
Row,2/2/2016,0.31,8.2,2.96,20.87,11.43,10.35,0.84,4.74,1454396400.0
Row,2/20/2016,0.13,59.18,28.57,59.18,34.2,1.23,0.36,10.0,1455951600.0
Row,2/21/2016,0.11,38.58,19.48,43.76,25.22,4.85,0.54,9.91,1456038000.0
Row,2/22/2016,0.22,41.48,22.07,45.44,26.32,3.92,0.62,9.1,1456124400.0
Row,2/23/2016,0.17,30.31,17.55,37.18,25.06,6.89,0.61,9.1,1456210800.0
Row,2/24/2016,0.12,45.0,13.37,46.96,22.25,0.74,0.39,9.86,1456297200.0
Row,2/25/2016,0.15,42.5,18.64,44.89,19.99,2.24,0.47,10.0,1456383600.0
Row,2/26/2016,0.09,58.5,22.55,58.5,27.5,2.58,0.41,9.95,1456470000.0
Row,2/27/2016,0.1,64.14,27.36,64.14,32.28,7.61,0.3,9.97,1456556400.0
Row,2/28/2016,0.13,57.82,31.4,57.82,38.57,2.97,0.29,9.96,1456642800.0
Row,2/29/2016,0.11,57.76,30.37,57.76,30.37,8.7,0.35,9.86,1456729200.0
Row,2/3/2016,0.17,14.11,-6.65,23.39,4.78,6.25,0.56,9.72,1454482800.0
Row,2/4/2016,0.2,27.0,-3.21,27.0,10.36,3.38,0.53,9.67,1454569200.0
Row,2/5/2016,0.16,26.74,10.43,32.65,17.14,1.09,0.54,9.99,1454655600.0
Row,2/6/2016,0.07,38.81,9.32,44.59,16.59,7.01,0.48,9.83,1454742000.0
Row,2/7/2016,0.16,32.43,12.55,39.4,20.23,0.66,0.57,9.72,1454828400.0
Row,2/8/2016,0.14,40.73,12.65,40.73,19.05,2.75,0.65,9.77,1454914800.0
Row,2/9/2016,0.08,49.78,20.04,49.78,26.0,3.28,0.53,9.93,1455001200.0
