,Date,Hour,apparentTemperature,cloudCover,humidity,temperature,time,visibility,windSpeed
Row,,,,,,,,,
Row,2/1/2016,0.0,16.36,,0.88,24.26,1454310000.0,6.56,6.75
Row,2/1/2016,1.0,15.68,,0.88,24.3,1454313600.0,6.17,7.7
Row,2/1/2016,2.0,15.46,0.61,0.87,24.23,1454317200.0,8.55,7.9
Row,2/1/2016,3.0,15.32,0.21,0.87,23.33,1454320800.0,9.67,6.67
Row,2/1/2016,4.0,15.52,0,0.89,23.72,1454324400.0,9.14,7.0
Row,2/1/2016,5.0,19.46,0.69,0.9,23.98,1454328000.0,8.75,3.51
Row,2/1/2016,6.0,19.63,0,0.93,23.75,1454331600.0,7.78,3.22
Row,2/1/2016,7.0,17.83,0,0.93,24.1,1454335200.0,5.54,4.97
Row,2/1/2016,8.0,17.96,1,0.92,24.41,1454338800.0,3.46,5.19
Row,2/1/2016,9.0,18.44,1,0.92,24.88,1454342400.0,3.01,5.27
Row,2/1/2016,10.0,19.38,1,0.91,25.16,1454346000.0,3.29,4.68
Row,2/1/2016,11.0,26.17,1,0.9,26.17,1454349600.0,1.84,2.88
Row,2/1/2016,12.0,27.1,1,0.87,27.1,1454353200.0,1.36,2.5
Row,2/1/2016,13.0,26.73,1,0.9,26.73,1454356800.0,1.07,1.89
Row,2/1/2016,14.0,20.71,1,0.9,26.22,1454360400.0,1.3,4.6
Row,2/1/2016,15.0,20.46,1,0.92,25.93,1454364000.0,1.45,4.52
Row,2/1/2016,16.0,19.14,1,0.92,25.62,1454367600.0,1.1,5.45
Row,2/1/2016,17.0,17.6,1,0.93,25.37,1454371200.0,2.97,6.88
Row,2/1/2016,18.0,13.81,1,0.92,24.91,1454374800.0,1.58,12.1
Row,2/1/2016,19.0,13.61,0.31,0.93,24.12,1454378400.0,1.47,10.61
Row,2/1/2016,20.0,12.63,0.31,0.91,23.19,1454382000.0,0.98,10.31
Row,2/1/2016,21.0,11.46,0.31,0.93,22.03,1454385600.0,1.01,9.86
Row,2/1/2016,22.0,11.31,0.31,0.91,21.22,1454389200.0,1.34,8.57
Row,2/1/2016,23.0,9.49,1,0.94,20.4,1454392800.0,1.19,9.78
Row,2/10/2016,0.0,30.91,0,0.42,37.58,1455087600.0,10.0,9.42
Row,2/10/2016,1.0,31.98,0,0.39,38.41,1455091200.0,10.0,9.33
Row,2/10/2016,2.0,32.34,0,0.37,38.65,1455094800.0,10.0,9.19
Row,2/10/2016,3.0,31.93,0,0.37,38.93,1455098400.0,10.0,10.91
Row,2/10/2016,4.0,33.22,0,0.33,40.68,1455102000.0,10.0,13.37
Row,2/10/2016,5.0,33.4,0,0.33,40.51,1455105600.0,10.0,12.24
Row,2/10/2016,6.0,34.04,0.05,0.32,40.61,1455109200.0,10.0,10.88
Row,2/10/2016,7.0,34.02,0.14,0.31,41.35,1455112800.0,10.0,13.56
Row,2/10/2016,8.0,38.48,0.18,0.29,44.66,1455116400.0,9.97,12.71
Row,2/10/2016,9.0,50.17,0.18,0.25,50.17,1455120000.0,10.0,10.55
Row,2/10/2016,10.0,54.11,0.18,0.22,54.11,1455123600.0,10.0,10.99
Row,2/10/2016,11.0,56.79,0.19,0.2,56.79,1455127200.0,10.0,12.51
Row,2/10/2016,12.0,59.35,0.18,0.19,59.35,1455130800.0,10.0,15.08
Row,2/10/2016,13.0,60.27,0.17,0.18,60.27,1455134400.0,10.0,13.88
Row,2/10/2016,14.0,60.83,0.16,0.18,60.83,1455138000.0,10.0,16.8
Row,2/10/2016,15.0,58.56,0.16,0.2,58.56,1455141600.0,10.0,14.09
Row,2/10/2016,16.0,56.67,0.08,0.19,56.67,1455145200.0,10.0,13.33
Row,2/10/2016,17.0,53.77,0.15,0.23,53.77,1455148800.0,10.0,12.78
Row,2/10/2016,18.0,51.26,0,0.23,51.26,1455152400.0,10.0,11.51
Row,2/10/2016,19.0,44.35,0,0.24,49.42,1455156000.0,10.0,13.25
Row,2/10/2016,20.0,42.67,0.14,0.28,46.48,1455159600.0,10.0,7.59
Row,2/10/2016,21.0,39.09,0.17,0.31,42.68,1455163200.0,10.0,5.77
Row,2/10/2016,22.0,39.65,0.12,0.31,42.18,1455166800.0,10.0,4.22
Row,2/10/2016,23.0,37.55,0.08,0.36,39.96,1455170400.0,10.0,3.71
Row,2/11/2016,0.0,34.62,0.08,0.41,37.82,1455174000.0,10.0,4.19
Row,2/11/2016,1.0,33.34,0.05,0.44,36.47,1455177600.0,10.0,3.9
Row,2/11/2016,2.0,32.47,0.08,0.46,36.09,1455181200.0,10.0,4.34
Row,2/11/2016,3.0,30.76,0.12,0.46,35.35,1455184800.0,10.0,5.29
Row,2/11/2016,4.0,31.14,0.13,0.47,35.57,1455188400.0,10.0,5.14
Row,2/11/2016,5.0,30.4,0.12,0.49,34.62,1455192000.0,10.0,4.72
Row,2/11/2016,6.0,32.45,0.17,0.43,37.43,1455195600.0,10.0,6.36
Row,2/11/2016,7.0,29.22,0.08,0.5,34.14,1455199200.0,10.0,5.44
Row,2/11/2016,8.0,34.17,0.14,0.44,38.54,1455202800.0,10.0,5.78
Row,2/11/2016,9.0,38.73,0.03,0.39,42.75,1455206400.0,10.0,6.51
Row,2/11/2016,10.0,47.32,0.02,0.29,49.97,1455210000.0,9.93,6.65
