,Date,cloudCover,temperatureMax,temperatureMin,windSpeed,humidity
Row,,,,,,
Row,1/1/2016,0.03,32.32,4.44,3.74,0.56
Row,1/10/2016,0.11,27.34,6.81,2.38,0.74
Row,1/11/2016,0.11,34.7,12.83,2.69,0.57
Row,1/12/2016,0.09,41.46,19.98,3.75,0.43
Row,1/13/2016,0.09,45.47,24.44,5.57,0.48
Row,1/14/2016,0.16,40.41,28.21,12.6,0.35
Row,1/15/2016,0.23,31.35,19.47,2.2,0.6
Row,1/16/2016,0.17,32.42,12.66,3.31,0.63
Row,1/17/2016,0.16,35.25,17.08,4.25,0.68
Row,1/18/2016,0.15,44.67,22.54,2.34,0.54
Row,1/19/2016,0.2,38.45,27.53,0.33,0.71
Row,1/2/2016,0.1,39.01,14.0,3.31,0.44
Row,1/20/2016,0.13,44.39,27.04,8.44,0.49
Row,1/21/2016,0.16,37.45,23.14,4.14,0.52
Row,1/22/2016,0.13,47.63,22.84,3.31,0.59
Row,1/23/2016,0.05,54.82,32.33,2.37,0.49
Row,1/24/2016,0.18,42.88,29.37,2.66,0.61
Row,1/25/2016,0.21,34.74,20.9,4.84,0.75
Row,1/26/2016,0.16,40.01,15.96,4.04,0.61
Row,1/27/2016,0.14,49.62,25.3,2.53,0.53
Row,1/28/2016,0.12,54.82,27.78,4.64,0.52
Row,1/29/2016,0.11,51.17,36.18,7.8,0.37
Row,1/3/2016,0.14,41.19,15.58,2.29,0.49
Row,1/30/2016,0.12,57.8,28.2,1.4,0.6
Row,1/31/2016,0.32,31.26,23.43,3.98,0.84
Row,1/4/2016,0.07,40.44,20.09,1.87,0.58
Row,1/5/2016,0.16,42.83,24.05,2.77,0.52
Row,1/6/2016,0.08,41.78,23.32,2.88,0.62
Row,1/7/2016,0.3,34.26,27.7,1.44,0.84
Row,1/8/2016,0.72,29.01,18.05,4.66,0.9
Row,1/9/2016,0.28,25.89,12.07,0.5,0.85
