,Date,Hour,apparentTemperature,cloudCover,humidity,temperature,time,visibility,windSpeed
Row,,,,,,,,,
Row,1/1/2016,0.0,-0.35,0.04,0.8,8.12,1451631600.0,9.01,4.56
Row,1/1/2016,1.0,6.77,0.04,0.8,6.77,1451635200.0,9.33,2.11
Row,1/1/2016,2.0,6.23,0.0,0.8,6.23,1451638800.0,9.48,2.36
Row,1/1/2016,3.0,-2.89,0.0,0.79,6.88,1451642400.0,9.63,5.35
Row,1/1/2016,4.0,-2.05,0.0,0.8,6.19,1451646000.0,9.53,4.19
Row,1/1/2016,5.0,-2.06,0.0,0.8,5.97,1451649600.0,9.48,4.05
Row,1/1/2016,6.0,-2.02,0.0,0.8,5.27,1451653200.0,10.0,3.56
Row,1/1/2016,7.0,-2.46,0.0,0.79,4.44,1451656800.0,9.91,3.29
Row,1/1/2016,8.0,-5.68,0.0,0.73,6.63,1451660400.0,10.0,7.61
Row,1/1/2016,9.0,4.28,0.08,0.64,13.85,1451664000.0,10.0,6.33
Row,1/1/2016,10.0,9.49,0.16,0.54,19.73,1451667600.0,10.0,8.55
Row,1/1/2016,11.0,19.04,0.16,0.42,25.91,1451671200.0,10.0,5.93
Row,1/1/2016,12.0,23.17,0.16,0.37,29.53,1451674800.0,9.97,6.15
Row,1/1/2016,13.0,27.44,0.11,0.31,31.74,1451678400.0,9.83,4.31
Row,1/1/2016,14.0,32.32,0.0,0.3,32.32,1451682000.0,10.0,1.41
Row,1/1/2016,15.0,31.67,0.0,0.3,31.67,1451685600.0,10.0,0.67
Row,1/1/2016,16.0,30.01,0.0,0.3,30.01,1451689200.0,10.0,1.61
Row,1/1/2016,17.0,24.4,0.0,0.4,24.4,1451692800.0,10.0,1.45
Row,1/1/2016,18.0,17.85,0.0,0.4,22.34,1451696400.0,10.0,3.34
Row,1/1/2016,19.0,11.0,0.0,0.42,19.07,1451700000.0,10.0,5.83
Row,1/1/2016,20.0,11.6,0.0,0.44,18.54,1451703600.0,10.0,4.72
Row,1/1/2016,21.0,7.63,0.0,0.53,14.97,1451707200.0,10.0,4.55
Row,1/1/2016,22.0,8.73,0.0,0.52,15.84,1451710800.0,10.0,4.49
Row,1/1/2016,23.0,9.71,0.0,0.53,14.99,1451714400.0,10.0,3.2
Row,1/10/2016,0.0,11.34,0.27,0.89,11.34,1452409200.0,3.32,2.69
Row,1/10/2016,1.0,1.63,0.22,0.88,9.75,1452412800.0,3.45,4.5
Row,1/10/2016,2.0,1.52,0.2,0.87,8.61,1452416400.0,3.88,3.72
Row,1/10/2016,3.0,-0.01,0.15,0.86,7.43,1452420000.0,5.02,3.82
Row,1/10/2016,4.0,-0.85,0.15,0.87,7.56,1452423600.0,5.0,4.45
Row,1/10/2016,5.0,-0.03,0.16,0.84,7.02,1452427200.0,6.11,3.56
Row,1/10/2016,6.0,-1.07,0.23,0.84,6.81,1452430800.0,7.43,4.03
Row,1/10/2016,7.0,-1.64,0.13,0.83,7.18,1452434400.0,7.23,4.69
Row,1/10/2016,8.0,-0.22,0.12,0.8,10.1,1452438000.0,7.16,6.34
Row,1/10/2016,9.0,8.8,0.13,0.77,14.51,1452441600.0,7.35,3.41
Row,1/10/2016,10.0,18.06,0.12,0.73,18.06,1452445200.0,7.52,1.48
Row,1/10/2016,11.0,22.28,0.12,0.66,22.28,1452448800.0,8.31,1.63
Row,1/10/2016,12.0,25.73,0.12,0.6,25.73,1452452400.0,8.99,2.7
Row,1/10/2016,13.0,27.02,0.12,0.54,27.02,1452456000.0,9.11,2.66
Row,1/10/2016,14.0,22.86,0.12,0.55,27.34,1452459600.0,9.46,3.86
Row,1/10/2016,15.0,26.28,0.07,0.56,26.28,1452463200.0,9.58,2.92
Row,1/10/2016,16.0,24.43,0.12,0.59,24.43,1452466800.0,9.41,2.42
Row,1/10/2016,17.0,15.06,0.12,0.65,19.91,1452470400.0,9.03,3.35
Row,1/10/2016,18.0,11.39,0.05,0.69,16.65,1452474000.0,8.84,3.32
Row,1/10/2016,19.0,8.46,0.0,0.8,14.23,1452477600.0,7.81,3.42
Row,1/10/2016,20.0,7.09,0.01,0.76,13.19,1452481200.0,8.14,3.53
Row,1/10/2016,21.0,6.72,0.0,0.73,14.01,1452484800.0,7.94,4.4
Row,1/10/2016,22.0,5.26,0.0,0.72,13.47,1452488400.0,8.34,5.04
Row,1/10/2016,23.0,5.9,0.02,0.6,14.85,1452492000.0,8.76,5.91
Row,1/11/2016,0.0,4.3,0.0,0.64,13.89,1452495600.0,8.72,6.34
Row,1/11/2016,1.0,7.98,0.0,0.61,13.77,1452499200.0,9.53,3.4
Row,1/11/2016,2.0,6.75,0.02,0.65,12.83,1452502800.0,9.54,3.49
Row,1/11/2016,3.0,7.02,0.12,0.71,13.05,1452506400.0,9.44,3.48
Row,1/11/2016,4.0,8.07,0.08,0.64,14.85,1452510000.0,9.55,4.14
Row,1/11/2016,5.0,8.44,0.16,0.66,14.95,1452513600.0,9.47,3.96
Row,1/11/2016,6.0,7.06,0.18,0.64,13.38,1452517200.0,9.42,3.68
Row,1/11/2016,7.0,13.73,0.08,0.65,13.73,1452520800.0,9.44,2.47
Row,1/11/2016,8.0,14.89,0.15,0.61,14.89,1452524400.0,9.29,2.33
Row,1/11/2016,9.0,12.58,0.0,0.61,19.31,1452528000.0,9.55,4.65
Row,1/11/2016,10.0,21.67,0.0,0.54,25.26,1452531600.0,9.36,3.02
Row,1/11/2016,11.0,23.76,0.27,0.48,28.74,1452535200.0,9.54,4.49
Row,1/11/2016,12.0,32.27,0.03,0.41,32.27,1452538800.0,9.76,2.22
Row,1/11/2016,13.0,30.78,0.03,0.37,34.7,1452542400.0,10.0,4.41
Row,1/11/2016,14.0,31.67,0.12,0.41,34.61,1452546000.0,9.86,3.48
Row,1/11/2016,15.0,31.3,0.16,0.41,34.35,1452549600.0,10.0,3.54
Row,1/11/2016,16.0,31.48,0.18,0.48,31.48,1452553200.0,9.97,1.88
Row,1/11/2016,17.0,25.55,0.18,0.57,25.55,1452556800.0,9.59,2.06
Row,1/11/2016,18.0,13.39,0.18,0.65,21.52,1452560400.0,9.4,6.39
Row,1/11/2016,19.0,13.66,0.17,0.68,19.52,1452564000.0,9.46,4.0
Row,1/11/2016,20.0,18.02,0.17,0.7,18.02,1452567600.0,9.6,1.98
Row,1/11/2016,21.0,11.76,0.11,0.57,21.02,1452571200.0,9.72,7.63
Row,1/11/2016,22.0,12.14,0.06,0.58,21.44,1452574800.0,10.0,7.8
Row,1/11/2016,23.0,13.04,0.14,0.45,23.03,1452578400.0,9.72,9.3
Row,1/12/2016,0.0,13.28,0.0,0.43,22.36,1452582000.0,9.72,7.77
Row,1/12/2016,1.0,11.11,0.0,0.47,20.98,1452585600.0,9.93,8.43
Row,1/12/2016,2.0,12.06,0.14,0.43,23.05,1452589200.0,9.72,10.99
Row,1/12/2016,3.0,9.93,0.1,0.41,20.82,1452592800.0,9.33,9.91
Row,1/12/2016,4.0,9.79,0.1,0.42,19.98,1452596400.0,9.29,8.57
Row,1/12/2016,5.0,11.15,0.12,0.44,20.74,1452600000.0,9.69,7.98
Row,1/12/2016,6.0,12.24,0.14,0.44,22.22,1452603600.0,9.78,8.99
Row,1/12/2016,7.0,13.34,0.14,0.39,23.82,1452607200.0,9.87,10.43
Row,1/12/2016,8.0,18.51,0.14,0.41,23.82,1452610800.0,10.0,4.09
Row,1/12/2016,9.0,20.57,0.11,0.49,24.43,1452614400.0,9.55,3.12
Row,1/12/2016,10.0,25.85,0.11,0.39,29.41,1452618000.0,9.93,3.38
Row,1/12/2016,11.0,31.5,0.11,0.38,34.48,1452621600.0,9.9,3.5
Row,1/12/2016,12.0,38.42,0.0,0.33,38.42,1452625200.0,9.93,2.69
Row,1/12/2016,13.0,41.46,0.0,0.32,41.46,1452628800.0,9.84,2.65
Row,1/12/2016,14.0,40.85,0.14,0.32,40.85,1452632400.0,10.0,1.18
Row,1/12/2016,15.0,37.96,0.0,0.39,37.96,1452636000.0,10.0,1.82
Row,1/12/2016,16.0,35.65,0.11,0.4,35.65,1452639600.0,10.0,1.27
Row,1/12/2016,17.0,32.46,0.15,0.45,32.46,1452643200.0,10.0,2.98
Row,1/12/2016,18.0,27.58,0.03,0.46,31.64,1452646800.0,10.0,4.08
Row,1/12/2016,19.0,24.59,0.03,0.46,30.6,1452650400.0,10.0,5.97
Row,1/12/2016,20.0,22.63,0.19,0.48,29.17,1452654000.0,9.68,6.29
Row,1/12/2016,21.0,24.03,0.04,0.52,27.9,1452657600.0,9.75,3.45
Row,1/12/2016,22.0,23.38,0.02,0.51,27.62,1452661200.0,10.0,3.7
Row,1/12/2016,23.0,23.52,0.13,0.51,28.37,1452664800.0,9.78,4.32
Row,1/13/2016,0.0,21.92,0.0,0.54,26.18,1452668400.0,10.0,3.57
Row,1/13/2016,1.0,24.49,0.09,0.55,24.49,1452672000.0,10.0,2.74
Row,1/13/2016,2.0,17.86,0.12,0.56,24.44,1452675600.0,9.78,5.34
Row,1/13/2016,3.0,20.26,0.12,0.52,26.74,1452679200.0,10.0,5.67
Row,1/13/2016,4.0,19.27,0.12,0.55,24.91,1452682800.0,10.0,4.52
Row,1/13/2016,5.0,18.24,0.14,0.56,25.15,1452686400.0,10.0,5.8
Row,1/13/2016,6.0,18.98,0.11,0.52,25.83,1452690000.0,10.0,5.9
Row,1/13/2016,7.0,19.78,0.16,0.54,26.53,1452693600.0,10.0,5.92
Row,1/13/2016,8.0,20.31,0.14,0.55,26.55,1452697200.0,10.0,5.38
Row,1/13/2016,9.0,26.29,0.0,0.49,31.4,1452700800.0,10.0,5.1
Row,1/13/2016,10.0,33.95,0.0,0.42,37.84,1452704400.0,10.0,4.98
Row,1/13/2016,11.0,37.55,0.19,0.39,41.17,1452708000.0,10.0,5.41
Row,1/13/2016,12.0,37.68,0.0,0.39,42.17,1452711600.0,10.0,7.12
Row,1/13/2016,13.0,42.27,0.0,0.37,45.47,1452715200.0,10.0,5.99
Row,1/13/2016,14.0,40.41,0.16,0.42,43.9,1452718800.0,10.0,5.98
Row,1/13/2016,15.0,42.9,0.0,0.38,45.45,1452722400.0,10.0,4.97
Row,1/13/2016,16.0,40.48,0.02,0.41,42.68,1452726000.0,10.0,3.92
Row,1/13/2016,17.0,35.33,0.14,0.45,39.64,1452729600.0,10.0,6.01
Row,1/13/2016,18.0,32.07,0.0,0.51,37.29,1452733200.0,10.0,6.69
Row,1/13/2016,19.0,30.42,0.05,0.49,36.48,1452736800.0,10.0,7.8
Row,1/13/2016,20.0,30.9,0.16,0.47,36.94,1452740400.0,9.87,7.92
Row,1/13/2016,21.0,27.46,0.13,0.5,34.65,1452744000.0,9.73,9.09
Row,1/13/2016,22.0,27.79,0.12,0.46,33.42,1452747600.0,9.86,6.18
Row,1/13/2016,23.0,28.89,0.12,0.42,35.67,1452751200.0,9.87,8.78
Row,1/14/2016,0.0,27.72,0.12,0.36,34.2,1452754800.0,10.0,7.66
Row,1/14/2016,1.0,28.41,0.12,0.31,35.8,1452758400.0,10.0,10.06
Row,1/14/2016,2.0,28.84,0.09,0.31,36.28,1452762000.0,10.0,10.41
Row,1/14/2016,3.0,27.61,0.09,0.29,35.65,1452765600.0,9.87,11.42
Row,1/14/2016,4.0,26.46,0.12,0.3,34.57,1452769200.0,10.0,10.97
Row,1/14/2016,5.0,25.82,0.12,0.32,33.72,1452772800.0,9.87,10.06
Row,1/14/2016,6.0,25.79,0.09,0.31,34.12,1452776400.0,9.76,11.22
Row,1/14/2016,7.0,26.1,0.19,0.3,34.63,1452780000.0,9.63,11.99
Row,1/14/2016,8.0,24.04,0.19,0.33,34.69,1452783600.0,9.56,18.16
