,Date,cloudCover,temperatureMax,temperatureMin,windSpeed,humidity
Row,,,,,,
Row,7/1/2016,0.31,71.33,57.24,1.59,0.79
Row,7/10/2016,0.16,95.75,65.99,5.78,0.27
Row,7/11/2016,0.14,83.22,60.16,3.24,0.3
Row,7/12/2016,0.15,86.31,55.21,4.39,0.35
Row,7/13/2016,0.14,86.15,57.71,2.15,0.29
Row,7/14/2016,0.15,81.62,56.25,2.85,0.42
Row,7/15/2016,0.14,82.88,58.7,1.69,0.53
Row,7/16/2016,0.11,89.67,56.11,0.77,0.53
Row,7/17/2016,0.14,86.04,58.62,2.68,0.47
Row,7/18/2016,0.11,85.25,59.47,1.87,0.6
Row,7/19/2016,0.15,87.36,63.2,1.41,0.54
Row,7/2/2016,0.28,71.86,58.21,1.67,0.73
Row,7/20/2016,0.16,88.37,60.94,2.86,0.46
Row,7/21/2016,0.15,90.6,61.6,2.89,0.39
Row,7/22/2016,0.15,89.38,65.01,3.41,0.37
Row,7/23/2016,0.15,92.77,62.56,1.95,0.35
Row,7/24/2016,0.15,88.08,61.88,1.83,0.46
Row,7/25/2016,0.15,87.02,55.6,2.83,0.52
Row,7/26/2016,0.1,86.33,61.89,3.35,0.35
Row,7/27/2016,0.15,88.13,58.47,2.16,0.44
Row,7/28/2016,0.21,79.52,58.21,4.42,0.6
Row,7/29/2016,0.23,82.6,59.24,3.29,0.61
Row,7/3/2016,0.11,81.75,56.02,2.66,0.51
Row,7/30/2016,0.15,87.96,59.42,0.54,0.54
Row,7/31/2016,0.16,89.83,62.1,2.01,0.4
Row,7/4/2016,0.16,86.23,60.11,4.94,0.36
Row,7/5/2016,0.07,82.8,59.84,1.46,0.41
Row,7/6/2016,0.14,89.27,56.16,3.94,0.39
Row,7/7/2016,0.17,84.58,59.0,1.46,0.33
Row,7/8/2016,0.16,85.77,59.23,4.93,0.49
Row,7/9/2016,0.17,92.77,57.96,3.52,0.35
