,Date,Hour,apparentTemperature,cloudCover,humidity,temperature,time,visibility,windSpeed
Row,,,,,,,,,
Row,7/1/2016,0.0,58.87,0.55,0.84,58.87,1467352800.0,8.9,4.52
Row,7/1/2016,1.0,58.3,0.55,0.89,58.3,1467356400.0,9.36,4.64
Row,7/1/2016,2.0,57.99,0.31,0.91,57.99,1467360000.0,9.68,5.06
Row,7/1/2016,3.0,57.65,0.34,0.91,57.65,1467363600.0,9.27,3.36
Row,7/1/2016,4.0,57.74,0.31,0.92,57.74,1467367200.0,8.85,1.26
Row,7/1/2016,5.0,57.59,0.26,0.92,57.59,1467370800.0,8.91,4.69
Row,7/1/2016,6.0,57.24,0.24,0.93,57.24,1467374400.0,7.29,2.31
Row,7/1/2016,7.0,58.39,0.22,0.93,58.39,1467378000.0,9.0,4.64
Row,7/1/2016,8.0,60.08,0.31,0.9,60.08,1467381600.0,8.85,5.03
Row,7/1/2016,9.0,61.77,0.54,0.85,61.77,1467385200.0,9.29,4.02
Row,7/1/2016,10.0,62.89,0.31,0.81,62.89,1467388800.0,8.96,3.09
Row,7/1/2016,11.0,64.44,0.31,0.78,64.44,1467392400.0,9.13,2.49
Row,7/1/2016,12.0,67.58,0.47,0.7,67.58,1467396000.0,9.54,1.06
Row,7/1/2016,13.0,70.85,0.12,0.63,70.85,1467399600.0,9.82,1.82
Row,7/1/2016,14.0,69.61,0.25,0.63,69.61,1467403200.0,9.38,4.16
Row,7/1/2016,15.0,69.21,0.41,0.67,69.21,1467406800.0,9.5,3.04
Row,7/1/2016,16.0,70.52,0.0,0.6,70.52,1467410400.0,10.0,5.95
Row,7/1/2016,17.0,71.33,0.14,0.55,71.33,1467414000.0,9.97,2.53
Row,7/1/2016,18.0,70.51,0.42,0.55,70.51,1467417600.0,9.82,3.71
Row,7/1/2016,19.0,67.03,0.31,0.63,67.03,1467421200.0,9.39,3.91
Row,7/1/2016,20.0,62.84,0.31,0.75,62.84,1467424800.0,9.56,5.99
Row,7/1/2016,21.0,60.64,0.44,0.83,60.64,1467428400.0,8.84,3.73
Row,7/1/2016,22.0,59.84,0.31,0.86,59.84,1467432000.0,9.59,3.2
Row,7/1/2016,23.0,59.04,0.31,0.88,59.04,1467435600.0,9.67,1.68
Row,7/10/2016,0.0,70.6,0.21,0.49,70.6,1468130400.0,10.0,7.4
Row,7/10/2016,1.0,69.1,0.21,0.5,69.1,1468134000.0,10.0,9.22
Row,7/10/2016,2.0,67.29,0.21,0.5,67.29,1468137600.0,10.0,5.15
Row,7/10/2016,3.0,65.99,0.21,0.54,65.99,1468141200.0,10.0,6.98
Row,7/10/2016,4.0,66.39,0.0,0.52,66.39,1468144800.0,10.0,5.35
Row,7/10/2016,5.0,66.25,0.0,0.47,66.25,1468148400.0,10.0,5.52
Row,7/10/2016,6.0,68.35,0.26,0.37,68.35,1468152000.0,10.0,8.87
Row,7/10/2016,7.0,70.4,0.0,0.34,70.4,1468155600.0,10.0,6.79
Row,7/10/2016,8.0,76.11,0.0,0.3,76.11,1468159200.0,10.0,7.57
Row,7/10/2016,9.0,79.52,0.21,0.25,81.07,1468162800.0,10.0,6.51
Row,7/10/2016,10.0,82.06,0.15,0.21,84.93,1468166400.0,10.0,5.89
Row,7/10/2016,11.0,84.85,0.15,0.16,88.65,1468170000.0,9.74,6.97
Row,7/10/2016,12.0,86.39,0.19,0.14,90.51,1468173600.0,9.72,5.37
Row,7/10/2016,13.0,87.32,0.19,0.14,91.56,1468177200.0,10.0,6.9
Row,7/10/2016,14.0,89.28,0.19,0.13,93.93,1468180800.0,10.0,7.45
Row,7/10/2016,15.0,90.2,0.21,0.12,95.22,1468184400.0,10.0,6.86
Row,7/10/2016,16.0,90.44,0.19,0.11,95.75,1468188000.0,10.0,8.27
Row,7/10/2016,17.0,89.81,0.19,0.11,95.07,1468191600.0,10.0,5.49
Row,7/10/2016,18.0,89.07,0.19,0.12,93.87,1468195200.0,10.0,7.39
Row,7/10/2016,19.0,87.03,0.17,0.13,91.27,1468198800.0,10.0,6.38
Row,7/10/2016,20.0,82.73,0.19,0.16,86.06,1468202400.0,10.0,7.27
Row,7/10/2016,21.0,79.99,0.19,0.19,79.99,1468206000.0,10.0,6.0
Row,7/10/2016,22.0,78.55,0.18,0.18,78.55,1468209600.0,10.0,8.89
Row,7/10/2016,23.0,74.76,0.09,0.21,74.76,1468213200.0,10.0,7.23
Row,7/11/2016,0.0,72.99,0.09,0.22,72.99,1468216800.0,10.0,7.9
Row,7/11/2016,1.0,68.54,0.09,0.29,68.54,1468220400.0,10.0,5.68
Row,7/11/2016,2.0,67.68,0.05,0.28,67.68,1468224000.0,10.0,8.42
Row,7/11/2016,3.0,65.09,0.0,0.3,65.09,1468227600.0,10.0,3.54
Row,7/11/2016,4.0,66.65,0.0,0.28,66.65,1468231200.0,10.0,3.12
Row,7/11/2016,5.0,63.94,0.03,0.33,63.94,1468234800.0,9.8,3.3
Row,7/11/2016,6.0,60.16,0.03,0.47,60.16,1468238400.0,9.8,6.44
Row,7/11/2016,7.0,60.53,0.03,0.55,60.53,1468242000.0,10.0,6.19
Row,7/11/2016,8.0,63.56,0.12,0.51,63.56,1468245600.0,9.82,6.25
Row,7/11/2016,9.0,66.34,0.16,0.47,66.34,1468249200.0,10.0,6.08
Row,7/11/2016,10.0,68.91,0.2,0.4,68.91,1468252800.0,10.0,7.0
Row,7/11/2016,11.0,71.92,0.2,0.35,71.92,1468256400.0,10.0,7.0
Row,7/11/2016,12.0,75.2,0.2,0.3,75.2,1468260000.0,10.0,7.16
Row,7/11/2016,13.0,78.21,0.2,0.24,78.21,1468263600.0,9.76,4.18
Row,7/11/2016,14.0,79.69,0.21,0.21,79.69,1468267200.0,10.0,4.43
Row,7/11/2016,15.0,80.08,0.19,0.19,82.39,1468270800.0,10.0,3.95
Row,7/11/2016,16.0,80.32,0.18,0.18,82.77,1468274400.0,10.0,1.11
Row,7/11/2016,17.0,80.63,0.2,0.18,83.22,1468278000.0,10.0,2.79
Row,7/11/2016,18.0,80.34,0.19,0.19,82.77,1468281600.0,10.0,3.35
Row,7/11/2016,19.0,79.06,0.19,0.2,80.77,1468285200.0,10.0,2.47
Row,7/11/2016,20.0,76.14,0.19,0.23,76.14,1468288800.0,10.0,3.65
Row,7/11/2016,21.0,71.77,0.2,0.26,71.77,1468292400.0,9.89,4.92
Row,7/11/2016,22.0,69.53,0.21,0.29,69.53,1468296000.0,10.0,10.85
Row,7/11/2016,23.0,66.58,0.16,0.37,66.58,1468299600.0,10.0,6.82
Row,7/12/2016,0.0,63.96,0.14,0.45,63.96,1468303200.0,10.0,7.09
Row,7/12/2016,1.0,62.15,0.09,0.49,62.15,1468306800.0,10.0,5.84
Row,7/12/2016,2.0,58.88,0.13,0.53,58.88,1468310400.0,10.0,5.77
Row,7/12/2016,3.0,58.35,0.14,0.5,58.35,1468314000.0,10.0,4.96
Row,7/12/2016,4.0,56.13,0.13,0.57,56.13,1468317600.0,9.8,4.28
Row,7/12/2016,5.0,55.21,0.13,0.6,55.21,1468321200.0,10.0,5.97
Row,7/12/2016,6.0,55.28,0.08,0.56,55.28,1468324800.0,9.64,6.81
Row,7/12/2016,7.0,59.38,0.09,0.49,59.38,1468328400.0,9.53,7.78
Row,7/12/2016,8.0,65.88,0.0,0.38,65.88,1468332000.0,10.0,7.21
Row,7/12/2016,9.0,69.64,0.12,0.31,69.64,1468335600.0,10.0,11.88
Row,7/12/2016,10.0,72.36,0.13,0.29,72.36,1468339200.0,10.0,12.57
Row,7/12/2016,11.0,76.47,0.14,0.27,76.47,1468342800.0,9.96,7.34
