,Date,cloudCover,apparentTemperatureMax,apparentTemperatureMin,temperatureMax,temperatureMin,windSpeed,humidity,visibility,time
Row,,,,,,,,,,
Row,6/1/2016,0.32,69.4,46.81,69.4,47.71,3.06,0.7,9.51,1464760800.0
Row,6/10/2016,0.11,84.31,58.19,87.52,58.19,4.37,0.38,9.98,1465538400.0
Row,6/11/2016,0.16,83.55,57.13,86.81,57.13,3.82,0.41,10.0,1465624800.0
Row,6/12/2016,0.15,79.7,57.83,80.86,57.83,1.78,0.57,9.96,1465711200.0
Row,6/13/2016,0.23,69.1,53.49,69.1,53.49,0.73,0.76,9.52,1465797600.0
Row,6/14/2016,0.17,77.15,47.38,77.15,49.61,4.19,0.48,9.94,1465884000.0
Row,6/15/2016,0.12,82.36,51.98,85.43,51.98,4.15,0.39,9.96,1465970400.0
Row,6/16/2016,0.06,83.99,57.26,87.67,57.26,2.33,0.3,9.83,1466056800.0
Row,6/17/2016,0.11,80.88,57.8,82.41,57.8,2.56,0.39,9.98,1466143200.0
Row,6/18/2016,0.15,84.62,58.51,87.31,58.51,6.29,0.48,10.0,1466229600.0
Row,6/19/2016,0.14,89.05,61.32,93.29,61.32,1.89,0.4,9.96,1466316000.0
Row,6/2/2016,0.15,77.25,47.31,77.25,49.39,1.44,0.54,9.99,1464847200.0
Row,6/20/2016,0.18,71.27,61.44,71.27,61.44,1.69,0.62,9.89,1466402400.0
Row,6/21/2016,0.08,90.43,58.32,94.39,58.32,3.5,0.48,9.78,1466488800.0
Row,6/22/2016,0.13,75.13,65.39,75.13,65.39,1.13,0.42,9.93,1466575200.0
Row,6/23/2016,0.13,82.41,59.28,84.86,59.28,1.92,0.48,9.93,1466661600.0
Row,6/24/2016,0.15,82.36,58.39,84.91,58.39,3.46,0.47,9.96,1466748000.0
Row,6/25/2016,0.11,79.23,61.04,79.23,61.04,2.88,0.46,9.97,1466834400.0
Row,6/26/2016,0.13,83.54,54.77,86.6,54.77,2.61,0.47,9.93,1466920800.0
Row,6/27/2016,0.16,83.78,58.44,87.06,58.44,1.44,0.43,9.94,1467007200.0
Row,6/28/2016,0.17,84.02,57.63,87.29,57.63,2.74,0.57,9.72,1467093600.0
Row,6/29/2016,0.14,81.23,54.01,83.49,54.01,1.5,0.58,9.85,1467180000.0
Row,6/3/2016,0.12,74.6,56.12,74.6,56.12,1.6,0.46,9.99,1464933600.0
Row,6/30/2016,0.18,72.62,58.17,72.62,58.17,2.27,0.67,9.66,1467266400.0
Row,6/4/2016,0.2,75.5,53.41,75.5,53.41,3.41,0.51,9.96,1465020000.0
Row,6/5/2016,0.16,79.05,51.03,80.16,51.03,0.93,0.49,10.0,1465106400.0
Row,6/6/2016,0.14,79.84,54.35,79.84,54.35,1.12,0.57,9.92,1465192800.0
Row,6/7/2016,0.11,75.97,52.49,75.97,52.49,2.32,0.64,9.98,1465279200.0
Row,6/8/2016,0.15,79.94,54.54,79.94,54.54,2.52,0.49,9.99,1465365600.0
Row,6/9/2016,0.15,81.84,55.48,84.33,55.48,1.65,0.44,10.0,1465452000.0
