,Date,Hour,apparentTemperature,cloudCover,humidity,temperature,time,visibility,windSpeed
Row,,,,,,,,,
Row,6/1/2016,0.0,51.91,1.0,0.83,51.91,1464760800.0,8.97,6.19
Row,6/1/2016,1.0,50.84,1.0,0.87,50.84,1464764400.0,8.76,5.3
Row,6/1/2016,2.0,49.7,1.0,0.9,49.7,1464768000.0,7.7,2.76
Row,6/1/2016,3.0,49.02,0.57,0.9,49.02,1464771600.0,8.44,0.45
Row,6/1/2016,4.0,47.88,0.57,0.88,48.64,1464775200.0,9.24,3.29
Row,6/1/2016,5.0,46.81,0.31,0.91,48.08,1464778800.0,8.51,3.8
Row,6/1/2016,6.0,46.85,0.81,0.91,47.71,1464782400.0,8.8,3.25
Row,6/1/2016,7.0,48.57,0.19,0.9,48.57,1464786000.0,8.65,2.88
Row,6/1/2016,8.0,50.47,0.17,0.88,50.47,1464789600.0,9.17,1.33
Row,6/1/2016,9.0,52.96,0.35,0.83,52.96,1464793200.0,10.0,3.13
Row,6/1/2016,10.0,55.37,0.25,0.74,55.37,1464796800.0,10.0,2.21
Row,6/1/2016,11.0,59.01,0.26,0.66,59.01,1464800400.0,10.0,5.2
Row,6/1/2016,12.0,61.89,0.27,0.62,61.89,1464804000.0,10.0,5.4
Row,6/1/2016,13.0,65.54,0.28,0.55,65.54,1464807600.0,10.0,5.59
Row,6/1/2016,14.0,67.21,0.21,0.5,67.21,1464811200.0,10.0,5.25
Row,6/1/2016,15.0,68.51,0.23,0.47,68.51,1464814800.0,10.0,6.21
Row,6/1/2016,16.0,69.4,0.23,0.42,69.4,1464818400.0,10.0,4.91
Row,6/1/2016,17.0,68.7,0.23,0.44,68.7,1464822000.0,10.0,4.66
Row,6/1/2016,18.0,67.04,0.21,0.48,67.04,1464825600.0,10.0,6.82
Row,6/1/2016,19.0,65.29,0.26,0.51,65.29,1464829200.0,10.0,5.92
Row,6/1/2016,20.0,62.44,0.25,0.58,62.44,1464832800.0,10.0,8.27
Row,6/1/2016,21.0,58.34,0.25,0.67,58.34,1464836400.0,10.0,8.11
Row,6/1/2016,22.0,57.2,0.2,0.7,57.2,1464840000.0,10.0,7.76
Row,6/1/2016,23.0,55.8,0.15,0.74,55.8,1464843600.0,10.0,6.29
Row,6/10/2016,0.0,65.64,0.15,0.46,65.64,1465538400.0,10.0,5.63
Row,6/10/2016,1.0,64.11,0.0,0.48,64.11,1465542000.0,9.88,3.87
Row,6/10/2016,2.0,62.23,0.06,0.51,62.23,1465545600.0,10.0,3.46
Row,6/10/2016,3.0,60.76,0.14,0.51,60.76,1465549200.0,10.0,3.6
Row,6/10/2016,4.0,58.61,0.06,0.54,58.61,1465552800.0,10.0,3.95
Row,6/10/2016,5.0,59.01,0.06,0.53,59.01,1465556400.0,10.0,4.03
Row,6/10/2016,6.0,58.19,0.11,0.53,58.19,1465560000.0,10.0,4.35
Row,6/10/2016,7.0,62.07,0.0,0.54,62.07,1465563600.0,10.0,4.28
Row,6/10/2016,8.0,68.92,0.1,0.45,68.92,1465567200.0,10.0,4.01
Row,6/10/2016,9.0,74.47,0.16,0.38,74.47,1465570800.0,10.0,2.62
Row,6/10/2016,10.0,78.7,0.18,0.31,78.7,1465574400.0,10.0,1.45
Row,6/10/2016,11.0,80.32,0.19,0.28,82.01,1465578000.0,9.9,4.46
Row,6/10/2016,12.0,81.71,0.17,0.27,84.01,1465581600.0,10.0,5.2
Row,6/10/2016,13.0,83.35,0.18,0.23,86.42,1465585200.0,10.0,5.49
Row,6/10/2016,14.0,83.32,0.12,0.24,86.24,1465588800.0,9.96,7.54
Row,6/10/2016,15.0,84.31,0.18,0.23,87.52,1465592400.0,10.0,8.48
Row,6/10/2016,16.0,82.78,0.14,0.26,85.41,1465596000.0,10.0,8.64
Row,6/10/2016,17.0,79.92,0.12,0.31,79.92,1465599600.0,10.0,9.19
