,Date,cloudCover,temperatureMax,temperatureMin,windSpeed,humidity
Row,,,,,,
Row,5/1/2016,0.53,37.45,30.9,6.17,0.83
Row,5/10/2016,0.26,59.87,43.44,3.38,0.65
Row,5/11/2016,0.24,54.45,36.81,3.17,0.65
Row,5/12/2016,0.1,67.72,35.84,1.94,0.52
Row,5/13/2016,0.12,64.8,46.91,2.98,0.47
Row,5/14/2016,0.35,50.31,40.57,3.42,0.75
Row,5/15/2016,0.32,53.97,39.1,2.47,0.74
Row,5/16/2016,0.47,44.73,36.65,5.93,0.94
Row,5/17/2016,0.56,45.68,36.08,3.42,0.87
Row,5/18/2016,0.21,60.64,39.17,5.55,0.71
Row,5/19/2016,0.15,69.35,41.18,3.78,0.53
Row,5/2/2016,0.12,55.4,25.87,1.52,0.58
Row,5/20/2016,0.1,73.77,47.23,5.79,0.47
Row,5/21/2016,0.1,77.51,49.79,5.64,0.51
Row,5/22/2016,0.17,70.83,48.85,1.37,0.49
Row,5/23/2016,0.14,62.94,42.29,5.14,0.58
Row,5/24/2016,0.19,67.08,41.94,2.6,0.66
Row,5/25/2016,0.13,68.61,44.24,2.26,0.55
Row,5/26/2016,0.22,61.39,44.42,1.7,0.72
Row,5/27/2016,0.29,53.4,43.83,7.36,0.76
Row,5/28/2016,0.19,65.65,40.33,2.25,0.59
Row,5/29/2016,0.15,71.09,44.1,1.87,0.55
Row,5/3/2016,0.14,62.58,37.36,6.7,0.46
Row,5/30/2016,0.15,72.34,44.78,1.73,0.53
Row,5/31/2016,0.28,61.81,46.43,4.0,0.69
Row,5/4/2016,0.07,70.06,39.19,1.82,0.44
Row,5/5/2016,0.06,76.06,44.45,2.92,0.4
Row,5/6/2016,0.14,73.37,49.15,2.43,0.45
Row,5/7/2016,0.27,55.05,38.44,9.49,0.8
Row,5/8/2016,0.18,57.69,35.2,1.45,0.69
Row,5/9/2016,0.21,61.57,39.76,5.19,0.58
