,Date,cloudCover,apparentTemperatureMax,apparentTemperatureMin,temperatureMax,temperatureMin,windSpeed,humidity,visibility,time
Row,,,,,,,,,,
Row,11/1/2016,0.11,62.45,40.31,62.45,44.62,3.79,0.41,9.88,1477980000.0
Row,11/10/2016,0.13,64.35,38.67,64.35,39.18,3.49,0.35,9.98,1478761200.0
Row,11/11/2016,0.24,56.95,25.79,56.95,31.45,4.78,0.53,10.0,1478847600.0
Row,11/12/2016,0.11,64.21,29.42,64.21,33.8,3.01,0.45,9.98,1478934000.0
Row,11/13/2016,0.14,60.14,35.54,60.14,38.17,4.95,0.38,9.91,1479020400.0
Row,11/14/2016,0.13,68.21,32.72,68.21,35.87,5.32,0.34,9.91,1479106800.0
Row,11/15/2016,0.1,72.68,46.46,72.68,48.83,4.02,0.24,9.97,1479193200.0
Row,11/16/2016,0.09,73.72,38.25,73.72,41.37,7.58,0.21,9.97,1479279600.0
Row,11/17/2016,0.23,36.23,11.95,39.28,21.85,7.58,0.79,6.58,1479366000.0
Row,11/18/2016,0.15,28.4,10.82,32.23,16.07,0.68,0.72,9.8,1479452400.0
Row,11/19/2016,0.09,44.8,13.81,44.8,20.99,3.55,0.68,9.97,1479538800.0
Row,11/2/2016,0.17,57.51,36.46,57.51,41.1,3.22,0.55,9.79,1478066400.0
Row,11/20/2016,0.05,63.1,37.54,63.1,41.09,3.01,0.4,9.98,1479625200.0
Row,11/21/2016,0.05,60.6,36.67,60.6,40.75,1.72,0.49,9.85,1479711600.0
Row,11/22/2016,0.22,36.22,24.15,41.2,30.29,9.13,0.79,8.79,1479798000.0
Row,11/23/2016,0.12,45.35,18.44,45.35,25.14,3.04,0.72,9.94,1479884400.0
Row,11/24/2016,0.09,40.91,20.62,44.24,27.54,5.38,0.46,9.78,1479970800.0
Row,11/25/2016,0.1,57.18,17.18,57.18,23.99,4.97,0.4,10.0,1480057200.0
Row,11/26/2016,0.1,56.25,26.62,56.25,32.01,4.6,0.26,10.0,1480143600.0
Row,11/27/2016,0.13,38.14,27.28,45.08,31.41,8.51,0.38,9.6,1480230000.0
Row,11/28/2016,0.14,31.85,21.17,39.97,25.29,8.29,0.35,9.58,1480316400.0
Row,11/29/2016,0.13,26.13,14.67,35.13,21.49,5.99,0.44,9.8,1480402800.0
Row,11/3/2016,0.02,65.34,32.49,65.34,35.35,1.7,0.46,9.89,1478152800.0
Row,11/30/2016,0.14,30.81,8.03,35.5,14.52,1.47,0.43,9.86,1480489200.0
Row,11/4/2016,0.12,66.18,34.08,66.18,36.93,4.48,0.39,9.91,1478239200.0
Row,11/5/2016,0.15,61.54,39.39,61.54,39.39,2.59,0.47,9.69,1478325600.0
Row,11/6/2016,0.15,63.7,35.89,63.7,38.3,1.53,0.52,9.84,1478412000.0
Row,11/7/2016,0.14,59.22,35.38,59.22,37.89,1.97,0.41,9.99,1478502000.0
Row,11/8/2016,0.08,60.75,31.27,60.75,32.16,1.45,0.44,9.92,1478588400.0
Row,11/9/2016,0.03,68.08,32.38,68.08,35.33,2.19,0.36,9.97,1478674800.0
