,Date,cloudCover,temperatureMax,temperatureMin,windSpeed,humidity
Row,,,,,,
Row,10/1/2016,0.17,75.45,48.26,2.38,0.51
Row,10/10/2016,0.14,73.2,46.41,5.79,0.35
Row,10/11/2016,0.21,70.1,48.0,4.19,0.39
Row,10/12/2016,0.23,45.03,35.27,2.02,0.88
Row,10/13/2016,0.1,72.41,38.32,3.2,0.5
Row,10/14/2016,0.09,77.75,49.13,5.68,0.31
Row,10/15/2016,0.13,79.66,53.89,2.76,0.24
Row,10/16/2016,0.14,80.89,49.46,4.96,0.29
Row,10/17/2016,0.15,72.9,42.71,5.5,0.43
Row,10/18/2016,0.19,60.04,37.83,4.06,0.42
Row,10/19/2016,0.22,53.98,36.32,5.51,0.53
Row,10/2/2016,0.17,75.93,50.11,4.86,0.46
Row,10/20/2016,0.11,57.71,27.24,2.19,0.49
Row,10/21/2016,0.11,73.22,37.42,2.71,0.28
Row,10/22/2016,0.13,76.76,40.4,4.71,0.24
Row,10/23/2016,0.1,68.57,41.21,1.44,0.32
Row,10/24/2016,0.09,74.09,43.31,2.82,0.35
Row,10/25/2016,0.15,67.13,47.55,5.58,0.39
Row,10/26/2016,0.12,69.08,39.66,3.69,0.43
Row,10/27/2016,0.12,79.47,43.04,4.33,0.3
Row,10/28/2016,0.06,75.7,55.08,5.52,0.25
Row,10/29/2016,0.16,70.99,48.34,4.22,0.38
Row,10/3/2016,0.14,75.32,50.73,9.79,0.38
Row,10/30/2016,0.12,68.2,42.55,3.91,0.6
Row,10/31/2016,0.11,73.91,50.13,4.87,0.3
Row,10/4/2016,0.16,58.38,41.68,9.71,0.28
Row,10/5/2016,0.16,60.75,36.97,1.15,0.31
Row,10/6/2016,0.28,50.2,35.28,3.72,0.7
Row,10/7/2016,0.07,62.94,32.59,3.08,0.56
Row,10/8/2016,0.1,70.15,38.11,3.03,0.37
Row,10/9/2016,0.1,70.55,41.78,1.62,0.39
