,Date,cloudCover,temperatureMax,temperatureMin,windSpeed,humidity
Row,,,,,,
Row,9/1/2016,0.18,80.07,54.36,5.2,0.64
Row,9/10/2016,0.07,78.04,39.83,4.5,0.47
Row,9/11/2016,0.09,86.29,52.62,4.68,0.26
Row,9/12/2016,0.19,68.63,51.99,3.52,0.4
Row,9/13/2016,0.34,59.47,47.2,3.08,0.8
Row,9/14/2016,0.22,73.91,47.47,3.03,0.67
Row,9/15/2016,0.17,72.01,47.03,2.31,0.58
Row,9/16/2016,0.18,69.0,42.21,2.1,0.52
Row,9/17/2016,0.18,75.2,46.42,1.13,0.45
Row,9/18/2016,0.13,84.9,51.62,4.14,0.27
Row,9/19/2016,0.14,86.12,54.34,3.8,0.27
Row,9/2/2016,0.15,79.77,59.5,2.01,0.55
Row,9/20/2016,0.07,84.55,58.22,2.69,0.26
Row,9/21/2016,0.15,78.6,59.92,2.48,0.32
Row,9/22/2016,0.23,71.27,52.43,2.45,0.65
Row,9/23/2016,0.19,81.28,53.23,6.99,0.51
Row,9/24/2016,0.21,64.02,41.04,5.01,0.42
Row,9/25/2016,0.14,64.34,42.77,2.4,0.45
Row,9/26/2016,0.06,72.62,41.41,1.47,0.4
Row,9/27/2016,0.08,78.48,45.64,1.11,0.35
Row,9/28/2016,0.1,78.25,47.54,2.07,0.33
Row,9/29/2016,0.16,78.99,48.41,2.43,0.4
Row,9/3/2016,0.17,81.37,56.57,2.47,0.5
Row,9/30/2016,0.21,69.14,53.7,2.75,0.51
Row,9/4/2016,0.15,81.24,53.76,3.03,0.52
Row,9/5/2016,0.12,87.79,50.98,2.33,0.46
Row,9/6/2016,0.19,76.8,57.32,2.38,0.64
Row,9/7/2016,0.12,82.18,55.25,0.68,0.54
Row,9/8/2016,0.12,84.88,51.24,1.62,0.36
Row,9/9/2016,0.14,71.38,47.23,6.26,0.41
