,Date,Hour,apparentTemperature,cloudCover,humidity,temperature,time,visibility,windSpeed
Row,,,,,,,,,
Row,9/1/2016,0.0,58.98,0.13,0.77,58.98,1472709600.0,9.81,5.35
Row,9/1/2016,1.0,57.83,0.14,0.81,57.83,1472713200.0,9.81,7.73
Row,9/1/2016,2.0,57.29,0.14,0.82,57.29,1472716800.0,9.68,5.25
Row,9/1/2016,3.0,56.7,0.13,0.84,56.7,1472720400.0,9.81,4.49
Row,9/1/2016,4.0,55.72,0.13,0.86,55.72,1472724000.0,9.81,3.42
Row,9/1/2016,5.0,55.11,0.13,0.88,55.11,1472727600.0,9.68,3.84
Row,9/1/2016,6.0,54.36,0.17,0.9,54.36,1472731200.0,9.23,1.81
Row,9/1/2016,7.0,55.01,0.17,0.91,55.01,1472734800.0,6.75,2.51
Row,9/1/2016,8.0,57.76,0.22,0.88,57.76,1472738400.0,4.84,1.96
Row,9/1/2016,9.0,60.72,0.26,0.79,60.72,1472742000.0,7.89,1.15
Row,9/1/2016,10.0,64.06,0.26,0.71,64.06,1472745600.0,8.61,1.7
Row,9/1/2016,11.0,67.51,0.25,0.62,67.51,1472749200.0,9.1,3.2
Row,9/1/2016,12.0,72.27,0.2,0.53,72.27,1472752800.0,9.4,2.77
Row,9/1/2016,13.0,75.61,0.18,0.45,75.61,1472756400.0,9.71,5.56
Row,9/1/2016,14.0,78.32,0.2,0.4,78.32,1472760000.0,9.79,5.78
Row,9/1/2016,15.0,79.76,0.18,0.37,80.07,1472763600.0,9.71,7.23
Row,9/1/2016,16.0,79.77,0.18,0.36,79.77,1472767200.0,10.0,8.56
Row,9/1/2016,17.0,78.09,0.2,0.39,78.09,1472770800.0,10.0,9.59
Row,9/1/2016,18.0,75.98,0.24,0.44,75.98,1472774400.0,9.71,7.74
Row,9/1/2016,19.0,72.28,0.23,0.51,72.28,1472778000.0,9.87,10.95
Row,9/1/2016,20.0,68.63,0.16,0.55,68.63,1472781600.0,10.0,9.56
Row,9/1/2016,21.0,68.79,0.29,0.52,68.79,1472785200.0,10.0,8.57
Row,9/1/2016,22.0,66.94,0.06,0.56,66.94,1472788800.0,10.0,13.2
Row,9/1/2016,23.0,65.96,0.07,0.58,65.96,1472792400.0,9.81,14.66
Row,9/10/2016,0.0,44.84,0.09,0.62,44.84,1473487200.0,10.0,2.29
Row,9/10/2016,1.0,43.21,0.09,0.67,43.21,1473490800.0,10.0,2.95
Row,9/10/2016,2.0,39.87,0.09,0.7,41.75,1473494400.0,10.0,3.44
Row,9/10/2016,3.0,38.9,0.0,0.71,41.36,1473498000.0,10.0,3.99
Row,9/10/2016,4.0,37.89,0.0,0.74,40.73,1473501600.0,10.0,4.31
Row,9/10/2016,5.0,38.67,0.0,0.74,40.53,1473505200.0,10.0,3.26
Row,9/10/2016,6.0,36.17,0.09,0.76,39.83,1473508800.0,10.0,5.14
Row,9/10/2016,7.0,37.42,0.04,0.75,40.73,1473512400.0,10.0,4.88
Row,9/10/2016,8.0,45.61,0.05,0.62,48.07,1473516000.0,10.0,5.56
Row,9/10/2016,9.0,54.42,0.04,0.5,54.42,1473519600.0,10.0,6.57
Row,9/10/2016,10.0,59.71,0.04,0.42,59.71,1473523200.0,10.0,7.18
Row,9/10/2016,11.0,64.24,0.08,0.36,64.24,1473526800.0,10.0,7.86
Row,9/10/2016,12.0,68.15,0.04,0.3,68.15,1473530400.0,10.0,7.28
Row,9/10/2016,13.0,71.98,0.0,0.25,71.98,1473534000.0,10.0,6.4
Row,9/10/2016,14.0,74.38,0.01,0.23,74.38,1473537600.0,10.0,5.91
Row,9/10/2016,15.0,76.45,0.07,0.22,76.45,1473541200.0,9.82,6.37
Row,9/10/2016,16.0,77.98,0.18,0.2,77.98,1473544800.0,10.0,5.92
Row,9/10/2016,17.0,78.04,0.18,0.21,78.04,1473548400.0,10.0,5.74
Row,9/10/2016,18.0,76.25,0.07,0.23,76.25,1473552000.0,9.82,5.32
Row,9/10/2016,19.0,69.75,0.14,0.31,69.75,1473555600.0,9.83,3.43
Row,9/10/2016,20.0,65.46,0.14,0.36,65.46,1473559200.0,10.0,3.37
Row,9/10/2016,21.0,62.17,0.02,0.4,62.17,1473562800.0,10.0,4.81
Row,9/10/2016,22.0,60.31,0.0,0.44,60.31,1473566400.0,10.0,4.96
Row,9/10/2016,23.0,58.05,0.08,0.46,58.05,1473570000.0,10.0,3.84
Row,9/11/2016,0.0,55.57,0.08,0.51,55.57,1473573600.0,10.0,4.82
Row,9/11/2016,1.0,55.48,0.0,0.47,55.48,1473577200.0,10.0,5.48
Row,9/11/2016,2.0,54.09,0.0,0.47,54.09,1473580800.0,10.0,5.02
Row,9/11/2016,3.0,53.43,0.0,0.43,53.43,1473584400.0,9.81,6.14
Row,9/11/2016,4.0,52.62,0.0,0.42,52.62,1473588000.0,10.0,5.22
Row,9/11/2016,5.0,53.46,0.12,0.4,53.46,1473591600.0,10.0,4.51
Row,9/11/2016,6.0,53.48,0.09,0.38,53.48,1473595200.0,10.0,5.46
Row,9/11/2016,7.0,54.29,0.18,0.37,54.29,1473598800.0,10.0,6.9
Row,9/11/2016,8.0,61.75,0.13,0.28,61.75,1473602400.0,10.0,6.2
Row,9/11/2016,9.0,67.42,0.16,0.26,67.42,1473606000.0,10.0,5.32
Row,9/11/2016,10.0,70.48,0.02,0.24,70.48,1473609600.0,9.93,6.45
Row,9/11/2016,11.0,75.89,0.02,0.18,75.89,1473613200.0,9.93,6.63
Row,9/11/2016,12.0,78.75,0.11,0.13,80.72,1473616800.0,9.85,8.0
Row,9/11/2016,13.0,80.68,0.16,0.12,83.73,1473620400.0,9.97,0.19
Row,9/11/2016,14.0,81.47,0.17,0.12,84.76,1473624000.0,9.7,4.24
